[['margarine'], 576, '->', ['citrus fruit'], 814, 0.13541666666666666]
[['root vegetables'], 1072, '->', ['citrus fruit'], 814, 0.1623134328358209]
[['citrus fruit'], 814, '->', ['root vegetables'], 1072, 0.21375921375921375]
[['sausage'], 924, '->', ['citrus fruit'], 814, 0.12012987012987013]
[['citrus fruit'], 814, '->', ['sausage'], 924, 0.13636363636363635]
[['brown bread'], 638, '->', ['citrus fruit'], 814, 0.12852664576802508]
[['citrus fruit'], 814, '->', ['brown bread'], 638, 0.10073710073710074]
[['citrus fruit'], 814, '->', ['shopping bags'], 969, 0.11793611793611794]
[['napkins'], 515, '->', ['citrus fruit'], 814, 0.14563106796116504]
[['pork'], 567, '->', ['citrus fruit'], 814, 0.1128747795414462]
[['whipped/sour cream'], 705, '->', ['citrus fruit'], 814, 0.15177304964539007]
[['citrus fruit'], 814, '->', ['whipped/sour cream'], 705, 0.13144963144963145]
[['domestic eggs'], 624, '->', ['citrus fruit'], 814, 0.16346153846153846]
[['citrus fruit'], 814, '->', ['domestic eggs'], 624, 0.12530712530712532]
[['frozen vegetables'], 473, '->', ['citrus fruit'], 814, 0.13742071881606766]
[['semi-finished bread'], 174, '->', ['whole milk'], 2513, 0.40229885057471265]
[['margarine'], 576, '->', ['tropical fruit'], 1032, 0.1597222222222222]
[['yogurt'], 1372, '->', ['margarine'], 576, 0.10204081632653061]
[['margarine'], 576, '->', ['yogurt'], 1372, 0.24305555555555555]
[['margarine'], 576, '->', ['whole milk'], 2513, 0.4131944444444444]
[['pip fruit'], 744, '->', ['margarine'], 576, 0.11290322580645161]
[['margarine'], 576, '->', ['pip fruit'], 744, 0.14583333333333334]
[['other vegetables'], 1903, '->', ['margarine'], 576, 0.10194429847609038]
[['margarine'], 576, '->', ['other vegetables'], 1903, 0.3368055555555556]
[['butter'], 545, '->', ['margarine'], 576, 0.12110091743119267]
[['margarine'], 576, '->', ['butter'], 545, 0.11458333333333333]
[['margarine'], 576, '->', ['rolls/buns'], 1809, 0.2517361111111111]
[['margarine'], 576, '->', ['bottled water'], 1087, 0.1753472222222222]
[['curd'], 524, '->', ['margarine'], 576, 0.1183206106870229]
[['margarine'], 576, '->', ['curd'], 524, 0.1076388888888889]
[['beef'], 516, '->', ['margarine'], 576, 0.1182170542635659]
[['margarine'], 576, '->', ['beef'], 516, 0.10590277777777778]
[['frankfurter'], 580, '->', ['margarine'], 576, 0.10862068965517241]
[['margarine'], 576, '->', ['frankfurter'], 580, 0.109375]
[['margarine'], 576, '->', ['soda'], 1715, 0.1736111111111111]
[['margarine'], 576, '->', ['fruit/vegetable juice'], 711, 0.10590277777777778]
[['margarine'], 576, '->', ['newspapers'], 785, 0.12152777777777778]
[['margarine'], 576, '->', ['pastry'], 875, 0.11631944444444445]
[['root vegetables'], 1072, '->', ['margarine'], 576, 0.10167910447761194]
[['margarine'], 576, '->', ['root vegetables'], 1072, 0.1892361111111111]
[['margarine'], 576, '->', ['sausage'], 924, 0.12152777777777778]
[['brown bread'], 638, '->', ['margarine'], 576, 0.10031347962382445]
[['margarine'], 576, '->', ['brown bread'], 638, 0.1111111111111111]
[['pork'], 567, '->', ['margarine'], 576, 0.1111111111111111]
[['margarine'], 576, '->', ['pork'], 567, 0.109375]
[['margarine'], 576, '->', ['whipped/sour cream'], 705, 0.11631944444444445]
[['domestic eggs'], 624, '->', ['margarine'], 576, 0.13141025641025642]
[['margarine'], 576, '->', ['domestic eggs'], 624, 0.1423611111111111]
[['yogurt'], 1372, '->', ['tropical fruit'], 1032, 0.2099125364431487]
[['tropical fruit'], 1032, '->', ['yogurt'], 1372, 0.27906976744186046]
[['coffee'], 571, '->', ['tropical fruit'], 1032, 0.12259194395796848]
[['whole milk'], 2513, '->', ['tropical fruit'], 1032, 0.1655391961798647]
[['tropical fruit'], 1032, '->', ['whole milk'], 2513, 0.40310077519379844]
[['pip fruit'], 744, '->', ['tropical fruit'], 1032, 0.2701612903225806]
[['tropical fruit'], 1032, '->', ['pip fruit'], 744, 0.19476744186046513]
[['cream cheese'], 390, '->', ['tropical fruit'], 1032, 0.18205128205128204]
[['other vegetables'], 1903, '->', ['tropical fruit'], 1032, 0.18549658434051497]
[['tropical fruit'], 1032, '->', ['other vegetables'], 1903, 0.34205426356589147]
[['long life bakery product'], 368, '->', ['tropical fruit'], 1032, 0.16847826086956522]
[['butter'], 545, '->', ['tropical fruit'], 1032, 0.1798165137614679]
[['rolls/buns'], 1809, '->', ['tropical fruit'], 1032, 0.1337755666113875]
[['tropical fruit'], 1032, '->', ['rolls/buns'], 1809, 0.23449612403100775]
[['bottled beer'], 792, '->', ['tropical fruit'], 1032, 0.10227272727272728]
[['white bread'], 414, '->', ['tropical fruit'], 1032, 0.20772946859903382]
[['bottled water'], 1087, '->', ['tropical fruit'], 1032, 0.16743330266789327]
[['tropical fruit'], 1032, '->', ['bottled water'], 1087, 0.17635658914728683]
[['chocolate'], 488, '->', ['tropical fruit'], 1032, 0.16393442622950818]
[['curd'], 524, '->', ['tropical fruit'], 1032, 0.19274809160305342]
[['beef'], 516, '->', ['tropical fruit'], 1032, 0.14534883720930233]
[['frankfurter'], 580, '->', ['tropical fruit'], 1032, 0.16034482758620688]
[['soda'], 1715, '->', ['tropical fruit'], 1032, 0.119533527696793]
[['tropical fruit'], 1032, '->', ['soda'], 1715, 0.19864341085271317]
[['chicken'], 422, '->', ['tropical fruit'], 1032, 0.14928909952606634]
[['fruit/vegetable juice'], 711, '->', ['tropical fruit'], 1032, 0.189873417721519]
[['tropical fruit'], 1032, '->', ['fruit/vegetable juice'], 711, 0.1308139534883721]
[['newspapers'], 785, '->', ['tropical fruit'], 1032, 0.14777070063694267]
[['tropical fruit'], 1032, '->', ['newspapers'], 785, 0.1124031007751938]
[['pastry'], 875, '->', ['tropical fruit'], 1032, 0.14857142857142858]
[['tropical fruit'], 1032, '->', ['pastry'], 875, 0.12596899224806202]
[['root vegetables'], 1072, '->', ['tropical fruit'], 1032, 0.19309701492537312]
[['tropical fruit'], 1032, '->', ['root vegetables'], 1072, 0.2005813953488372]
[['sausage'], 924, '->', ['tropical fruit'], 1032, 0.14826839826839827]
[['tropical fruit'], 1032, '->', ['sausage'], 924, 0.13275193798449614]
[['brown bread'], 638, '->', ['tropical fruit'], 1032, 0.164576802507837]
[['tropical fruit'], 1032, '->', ['brown bread'], 638, 0.10174418604651163]
[['shopping bags'], 969, '->', ['tropical fruit'], 1032, 0.13725490196078433]
[['tropical fruit'], 1032, '->', ['shopping bags'], 969, 0.12887596899224807]
[['hygiene articles'], 324, '->', ['tropical fruit'], 1032, 0.2037037037037037]
[['napkins'], 515, '->', ['tropical fruit'], 1032, 0.19223300970873786]
[['pork'], 567, '->', ['tropical fruit'], 1032, 0.14814814814814814]
[['berries'], 327, '->', ['tropical fruit'], 1032, 0.2018348623853211]
[['whipped/sour cream'], 705, '->', ['tropical fruit'], 1032, 0.19290780141843972]
[['tropical fruit'], 1032, '->', ['whipped/sour cream'], 705, 0.13178294573643412]
[['dessert'], 365, '->', ['tropical fruit'], 1032, 0.16986301369863013]
[['domestic eggs'], 624, '->', ['tropical fruit'], 1032, 0.1794871794871795]
[['tropical fruit'], 1032, '->', ['domestic eggs'], 624, 0.10852713178294573]
[['frozen vegetables'], 473, '->', ['tropical fruit'], 1032, 0.18181818181818182]
[['coffee'], 571, '->', ['yogurt'], 1372, 0.1681260945709282]
[['whole milk'], 2513, '->', ['yogurt'], 1372, 0.2192598487863112]
[['yogurt'], 1372, '->', ['whole milk'], 2513, 0.40160349854227406]
[['pip fruit'], 744, '->', ['yogurt'], 1372, 0.23790322580645162]
[['yogurt'], 1372, '->', ['pip fruit'], 744, 0.12900874635568513]
[['cream cheese'], 390, '->', ['yogurt'], 1372, 0.3128205128205128]
[['other vegetables'], 1903, '->', ['yogurt'], 1372, 0.22438255386232264]
[['yogurt'], 1372, '->', ['other vegetables'], 1903, 0.3112244897959184]
[['long life bakery product'], 368, '->', ['yogurt'], 1372, 0.23369565217391305]
[['butter'], 545, '->', ['yogurt'], 1372, 0.26422018348623855]
[['yogurt'], 1372, '->', ['butter'], 545, 0.10495626822157435]
[['rolls/buns'], 1809, '->', ['yogurt'], 1372, 0.18684355997788835]
[['yogurt'], 1372, '->', ['rolls/buns'], 1809, 0.24635568513119532]
[['UHT-milk'], 329, '->', ['yogurt'], 1372, 0.22188449848024316]
[['bottled beer'], 792, '->', ['yogurt'], 1372, 0.1148989898989899]
[['white bread'], 414, '->', ['yogurt'], 1372, 0.21497584541062803]
[['bottled water'], 1087, '->', ['yogurt'], 1372, 0.20791168353265868]
[['yogurt'], 1372, '->', ['bottled water'], 1087, 0.16472303206997085]
[['chocolate'], 488, '->', ['yogurt'], 1372, 0.1864754098360656]
[['curd'], 524, '->', ['yogurt'], 1372, 0.3244274809160305]
[['yogurt'], 1372, '->', ['curd'], 524, 0.1239067055393586]
[['beef'], 516, '->', ['yogurt'], 1372, 0.22286821705426357]
[['frankfurter'], 580, '->', ['yogurt'], 1372, 0.1896551724137931]
[['soda'], 1715, '->', ['yogurt'], 1372, 0.15685131195335278]
[['yogurt'], 1372, '->', ['soda'], 1715, 0.19606413994169097]
[['chicken'], 422, '->', ['yogurt'], 1372, 0.1943127962085308]
[['sugar'], 333, '->', ['yogurt'], 1372, 0.2042042042042042]
[['fruit/vegetable juice'], 711, '->', ['yogurt'], 1372, 0.2587904360056259]
[['yogurt'], 1372, '->', ['fruit/vegetable juice'], 711, 0.13411078717201166]
[['newspapers'], 785, '->', ['yogurt'], 1372, 0.19235668789808918]
[['yogurt'], 1372, '->', ['newspapers'], 785, 0.11005830903790087]
[['butter milk'], 275, '->', ['yogurt'], 1372, 0.3054545454545455]
[['pastry'], 875, '->', ['yogurt'], 1372, 0.19885714285714284]
[['yogurt'], 1372, '->', ['pastry'], 875, 0.12682215743440234]
[['root vegetables'], 1072, '->', ['yogurt'], 1372, 0.23694029850746268]
[['yogurt'], 1372, '->', ['root vegetables'], 1072, 0.18513119533527697]
[['salty snack'], 372, '->', ['yogurt'], 1372, 0.1639784946236559]
[['waffles'], 378, '->', ['yogurt'], 1372, 0.19576719576719576]
[['sausage'], 924, '->', ['yogurt'], 1372, 0.20887445887445888]
[['yogurt'], 1372, '->', ['sausage'], 924, 0.14067055393586006]
[['brown bread'], 638, '->', ['yogurt'], 1372, 0.22413793103448276]
[['yogurt'], 1372, '->', ['brown bread'], 638, 0.10422740524781342]
[['shopping bags'], 969, '->', ['yogurt'], 1372, 0.15479876160990713]
[['yogurt'], 1372, '->', ['shopping bags'], 969, 0.10932944606413994]
[['hamburger meat'], 327, '->', ['yogurt'], 1372, 0.19571865443425077]
[['hygiene articles'], 324, '->', ['yogurt'], 1372, 0.2222222222222222]
[['napkins'], 515, '->', ['yogurt'], 1372, 0.23495145631067962]
[['pork'], 567, '->', ['yogurt'], 1372, 0.1657848324514991]
[['berries'], 327, '->', ['yogurt'], 1372, 0.3180428134556575]
[['whipped/sour cream'], 705, '->', ['yogurt'], 1372, 0.28936170212765955]
[['yogurt'], 1372, '->', ['whipped/sour cream'], 705, 0.14868804664723032]
[['dessert'], 365, '->', ['yogurt'], 1372, 0.26575342465753427]
[['domestic eggs'], 624, '->', ['yogurt'], 1372, 0.22596153846153846]
[['yogurt'], 1372, '->', ['domestic eggs'], 624, 0.10276967930029154]
[['hard cheese'], 241, '->', ['yogurt'], 1372, 0.26141078838174275]
[['cat food'], 229, '->', ['yogurt'], 1372, 0.2663755458515284]
[['ham'], 256, '->', ['yogurt'], 1372, 0.2578125]
[['frozen vegetables'], 473, '->', ['yogurt'], 1372, 0.25792811839323465]
[['frozen meals'], 279, '->', ['yogurt'], 1372, 0.21863799283154123]
[['onions'], 305, '->', ['yogurt'], 1372, 0.23278688524590163]
[['sliced cheese'], 241, '->', ['yogurt'], 1372, 0.3278008298755187]
[['coffee'], 571, '->', ['whole milk'], 2513, 0.3222416812609457]
[['coffee'], 571, '->', ['pip fruit'], 744, 0.1190893169877408]
[['coffee'], 571, '->', ['other vegetables'], 1903, 0.23117338003502627]
[['coffee'], 571, '->', ['rolls/buns'], 1809, 0.18914185639229422]
[['coffee'], 571, '->', ['bottled water'], 1087, 0.12609457092819615]
[['coffee'], 571, '->', ['soda'], 1715, 0.17162872154115585]
[['coffee'], 571, '->', ['pastry'], 875, 0.1190893169877408]
[['coffee'], 571, '->', ['root vegetables'], 1072, 0.12609457092819615]
[['coffee'], 571, '->', ['sausage'], 924, 0.1190893169877408]
[['coffee'], 571, '->', ['shopping bags'], 969, 0.16112084063047286]
[['pip fruit'], 744, '->', ['whole milk'], 2513, 0.3978494623655914]
[['whole milk'], 2513, '->', ['pip fruit'], 744, 0.1177875049741345]
[['cream cheese'], 390, '->', ['whole milk'], 2513, 0.4153846153846154]
[['other vegetables'], 1903, '->', ['whole milk'], 2513, 0.38675775091960063]
[['whole milk'], 2513, '->', ['other vegetables'], 1903, 0.29287703939514526]
[['long life bakery product'], 368, '->', ['whole milk'], 2513, 0.36141304347826086]
[['butter'], 545, '->', ['whole milk'], 2513, 0.4972477064220184]
[['whole milk'], 2513, '->', ['butter'], 545, 0.1078392359729407]
[['rolls/buns'], 1809, '->', ['whole milk'], 2513, 0.30790491984521834]
[['whole milk'], 2513, '->', ['rolls/buns'], 1809, 0.2216474333465977]
[['bottled beer'], 792, '->', ['whole milk'], 2513, 0.2537878787878788]
[['potted plants'], 170, '->', ['whole milk'], 2513, 0.4]
[['white bread'], 414, '->', ['whole milk'], 2513, 0.4057971014492754]
[['bottled water'], 1087, '->', ['whole milk'], 2513, 0.3109475620975161]
[['whole milk'], 2513, '->', ['bottled water'], 1087, 0.13450059689614008]
[['chocolate'], 488, '->', ['whole milk'], 2513, 0.3360655737704918]
[['curd'], 524, '->', ['whole milk'], 2513, 0.4904580152671756]
[['whole milk'], 2513, '->', ['curd'], 524, 0.10226820533227218]
[['flour'], 171, '->', ['whole milk'], 2513, 0.4853801169590643]
[['beef'], 516, '->', ['whole milk'], 2513, 0.4050387596899225]
[['frankfurter'], 580, '->', ['whole milk'], 2513, 0.3482758620689655]
[['soda'], 1715, '->', ['whole milk'], 2513, 0.22973760932944606]
[['whole milk'], 2513, '->', ['soda'], 1715, 0.15678471945881417]
[['chicken'], 422, '->', ['whole milk'], 2513, 0.4099526066350711]
[['sugar'], 333, '->', ['whole milk'], 2513, 0.4444444444444444]
[['fruit/vegetable juice'], 711, '->', ['whole milk'], 2513, 0.36849507735583686]
[['whole milk'], 2513, '->', ['fruit/vegetable juice'], 711, 0.10425785913251094]
[['newspapers'], 785, '->', ['whole milk'], 2513, 0.34267515923566877]
[['whole milk'], 2513, '->', ['newspapers'], 785, 0.1070433744528452]
[['specialty bar'], 269, '->', ['whole milk'], 2513, 0.2379182156133829]
[['butter milk'], 275, '->', ['whole milk'], 2513, 0.41454545454545455]
[['pastry'], 875, '->', ['whole milk'], 2513, 0.3737142857142857]
[['whole milk'], 2513, '->', ['pastry'], 875, 0.1301233585356148]
[['processed cheese'], 163, '->', ['whole milk'], 2513, 0.4233128834355828]
[['detergent'], 189, '->', ['whole milk'], 2513, 0.4656084656084656]
[['root vegetables'], 1072, '->', ['whole milk'], 2513, 0.44869402985074625]
[['whole milk'], 2513, '->', ['root vegetables'], 1072, 0.19140469558296858]
[['salty snack'], 372, '->', ['whole milk'], 2513, 0.2956989247311828]
[['waffles'], 378, '->', ['whole milk'], 2513, 0.3306878306878307]
[['candy'], 294, '->', ['whole milk'], 2513, 0.2755102040816326]
[['canned beer'], 764, '->', ['whole milk'], 2513, 0.11387434554973822]
[['sausage'], 924, '->', ['whole milk'], 2513, 0.3181818181818182]
[['whole milk'], 2513, '->', ['sausage'], 924, 0.116991643454039]
[['brown bread'], 638, '->', ['whole milk'], 2513, 0.3887147335423197]
[['shopping bags'], 969, '->', ['whole milk'], 2513, 0.24871001031991744]
[['beverages'], 256, '->', ['whole milk'], 2513, 0.26171875]
[['hamburger meat'], 327, '->', ['whole milk'], 2513, 0.4434250764525994]
[['hygiene articles'], 324, '->', ['whole milk'], 2513, 0.3888888888888889]
[['napkins'], 515, '->', ['whole milk'], 2513, 0.3766990291262136]
[['pork'], 567, '->', ['whole milk'], 2513, 0.3844797178130511]
[['berries'], 327, '->', ['whole milk'], 2513, 0.3547400611620795]
[['whipped/sour cream'], 705, '->', ['whole milk'], 2513, 0.44964539007092197]
[['whole milk'], 2513, '->', ['whipped/sour cream'], 705, 0.12614405093513728]
[['grapes'], 220, '->', ['whole milk'], 2513, 0.32727272727272727]
[['dessert'], 365, '->', ['whole milk'], 2513, 0.3698630136986301]
[['domestic eggs'], 624, '->', ['whole milk'], 2513, 0.47275641025641024]
[['whole milk'], 2513, '->', ['domestic eggs'], 624, 0.11738957421408674]
[['misc. beverages'], 279, '->', ['whole milk'], 2513, 0.24731182795698925]
[['hard cheese'], 241, '->', ['whole milk'], 2513, 0.4107883817427386]
[['cat food'], 229, '->', ['whole milk'], 2513, 0.3799126637554585]
[['ham'], 256, '->', ['whole milk'], 2513, 0.44140625]
[['baking powder'], 174, '->', ['whole milk'], 2513, 0.5229885057471264]
[['pickled vegetables'], 176, '->', ['whole milk'], 2513, 0.3977272727272727]
[['oil'], 276, '->', ['whole milk'], 2513, 0.40217391304347827]
[['frozen vegetables'], 473, '->', ['whole milk'], 2513, 0.4249471458773784]
[['specialty chocolate'], 299, '->', ['whole milk'], 2513, 0.26421404682274247]
[['frozen meals'], 279, '->', ['whole milk'], 2513, 0.34767025089605735]
[['onions'], 305, '->', ['whole milk'], 2513, 0.3901639344262295]
[['herbs'], 160, '->', ['whole milk'], 2513, 0.475]
[['sliced cheese'], 241, '->', ['whole milk'], 2513, 0.43983402489626555]
[['soft cheese'], 168, '->', ['whole milk'], 2513, 0.44047619047619047]
[['meat'], 254, '->', ['whole milk'], 2513, 0.3858267716535433]
[['other vegetables'], 1903, '->', ['pip fruit'], 744, 0.1350499211770888]
[['pip fruit'], 744, '->', ['other vegetables'], 1903, 0.34543010752688175]
[['butter'], 545, '->', ['pip fruit'], 744, 0.13211009174311927]
[['pip fruit'], 744, '->', ['rolls/buns'], 1809, 0.18413978494623656]
[['white bread'], 414, '->', ['pip fruit'], 744, 0.1570048309178744]
[['pip fruit'], 744, '->', ['bottled water'], 1087, 0.13978494623655913]
[['curd'], 524, '->', ['pip fruit'], 744, 0.14694656488549618]
[['pip fruit'], 744, '->', ['curd'], 524, 0.10349462365591398]
[['frankfurter'], 580, '->', ['pip fruit'], 744, 0.12241379310344827]
[['pip fruit'], 744, '->', ['soda'], 1715, 0.1760752688172043]
[['fruit/vegetable juice'], 711, '->', ['pip fruit'], 744, 0.13220815752461323]
[['pip fruit'], 744, '->', ['fruit/vegetable juice'], 711, 0.12634408602150538]
[['pastry'], 875, '->', ['pip fruit'], 744, 0.12]
[['pip fruit'], 744, '->', ['pastry'], 875, 0.14112903225806453]
[['root vegetables'], 1072, '->', ['pip fruit'], 744, 0.14272388059701493]
[['pip fruit'], 744, '->', ['root vegetables'], 1072, 0.2056451612903226]
[['sausage'], 924, '->', ['pip fruit'], 744, 0.11471861471861472]
[['pip fruit'], 744, '->', ['sausage'], 924, 0.1424731182795699]
[['brown bread'], 638, '->', ['pip fruit'], 744, 0.11755485893416928]
[['pip fruit'], 744, '->', ['brown bread'], 638, 0.10080645161290322]
[['pip fruit'], 744, '->', ['shopping bags'], 969, 0.12365591397849462]
[['napkins'], 515, '->', ['pip fruit'], 744, 0.12815533980582525]
[['whipped/sour cream'], 705, '->', ['pip fruit'], 744, 0.12907801418439716]
[['pip fruit'], 744, '->', ['whipped/sour cream'], 705, 0.12231182795698925]
[['domestic eggs'], 624, '->', ['pip fruit'], 744, 0.1362179487179487]
[['pip fruit'], 744, '->', ['domestic eggs'], 624, 0.11424731182795698]
[['frozen vegetables'], 473, '->', ['pip fruit'], 744, 0.1522198731501057]
[['cream cheese'], 390, '->', ['other vegetables'], 1903, 0.34615384615384615]
[['cream cheese'], 390, '->', ['rolls/buns'], 1809, 0.2512820512820513]
[['cream cheese'], 390, '->', ['soda'], 1715, 0.1717948717948718]
[['cream cheese'], 390, '->', ['root vegetables'], 1072, 0.18974358974358974]
[['cream cheese'], 390, '->', ['whipped/sour cream'], 705, 0.16153846153846155]
[['long life bakery product'], 368, '->', ['other vegetables'], 1903, 0.28532608695652173]
[['butter'], 545, '->', ['other vegetables'], 1903, 0.3614678899082569]
[['other vegetables'], 1903, '->', ['butter'], 545, 0.10352075669994745]
[['rolls/buns'], 1809, '->', ['other vegetables'], 1903, 0.2316196793808734]
[['other vegetables'], 1903, '->', ['rolls/buns'], 1809, 0.22017866526537047]
[['UHT-milk'], 329, '->', ['other vegetables'], 1903, 0.24316109422492402]
[['bottled beer'], 792, '->', ['other vegetables'], 1903, 0.20075757575757575]
[['white bread'], 414, '->', ['other vegetables'], 1903, 0.32608695652173914]
[['bottled water'], 1087, '->', ['other vegetables'], 1903, 0.22447102115915363]
[['other vegetables'], 1903, '->', ['bottled water'], 1087, 0.1282186022070415]
[['chocolate'], 488, '->', ['other vegetables'], 1903, 0.25614754098360654]
[['curd'], 524, '->', ['other vegetables'], 1903, 0.32251908396946566]
[['flour'], 171, '->', ['other vegetables'], 1903, 0.36257309941520466]
[['beef'], 516, '->', ['other vegetables'], 1903, 0.375968992248062]
[['other vegetables'], 1903, '->', ['beef'], 516, 0.10194429847609038]
[['frankfurter'], 580, '->', ['other vegetables'], 1903, 0.2793103448275862]
[['soda'], 1715, '->', ['other vegetables'], 1903, 0.18775510204081633]
[['other vegetables'], 1903, '->', ['soda'], 1715, 0.16920651602732528]
[['chicken'], 422, '->', ['other vegetables'], 1903, 0.41706161137440756]
[['sugar'], 333, '->', ['other vegetables'], 1903, 0.3183183183183183]
[['fruit/vegetable juice'], 711, '->', ['other vegetables'], 1903, 0.2911392405063291]
[['other vegetables'], 1903, '->', ['fruit/vegetable juice'], 711, 0.10877561744613767]
[['newspapers'], 785, '->', ['other vegetables'], 1903, 0.24203821656050956]
[['butter milk'], 275, '->', ['other vegetables'], 1903, 0.3709090909090909]
[['pastry'], 875, '->', ['other vegetables'], 1903, 0.2537142857142857]
[['other vegetables'], 1903, '->', ['pastry'], 875, 0.11665790856542302]
[['detergent'], 189, '->', ['other vegetables'], 1903, 0.3333333333333333]
[['root vegetables'], 1072, '->', ['other vegetables'], 1903, 0.43470149253731344]
[['other vegetables'], 1903, '->', ['root vegetables'], 1072, 0.24487651077246453]
[['salty snack'], 372, '->', ['other vegetables'], 1903, 0.2849462365591398]
[['waffles'], 378, '->', ['other vegetables'], 1903, 0.2619047619047619]
[['candy'], 294, '->', ['other vegetables'], 1903, 0.23129251700680273]
[['canned beer'], 764, '->', ['other vegetables'], 1903, 0.11649214659685864]
[['sausage'], 924, '->', ['other vegetables'], 1903, 0.28679653679653677]
[['other vegetables'], 1903, '->', ['sausage'], 924, 0.13925380977404098]
[['brown bread'], 638, '->', ['other vegetables'], 1903, 0.2884012539184953]
[['shopping bags'], 969, '->', ['other vegetables'], 1903, 0.23529411764705882]
[['other vegetables'], 1903, '->', ['shopping bags'], 969, 0.11981082501313715]
[['hamburger meat'], 327, '->', ['other vegetables'], 1903, 0.41590214067278286]
[['hygiene articles'], 324, '->', ['other vegetables'], 1903, 0.29012345679012347]
[['napkins'], 515, '->', ['other vegetables'], 1903, 0.2757281553398058]
[['pork'], 567, '->', ['other vegetables'], 1903, 0.37566137566137564]
[['other vegetables'], 1903, '->', ['pork'], 567, 0.11192853389385181]
[['berries'], 327, '->', ['other vegetables'], 1903, 0.308868501529052]
[['whipped/sour cream'], 705, '->', ['other vegetables'], 1903, 0.40283687943262414]
[['other vegetables'], 1903, '->', ['whipped/sour cream'], 705, 0.14923804519180242]
[['grapes'], 220, '->', ['other vegetables'], 1903, 0.40454545454545454]
[['dessert'], 365, '->', ['other vegetables'], 1903, 0.31232876712328766]
[['domestic eggs'], 624, '->', ['other vegetables'], 1903, 0.35096153846153844]
[['other vegetables'], 1903, '->', ['domestic eggs'], 624, 0.11508145034156594]
[['hard cheese'], 241, '->', ['other vegetables'], 1903, 0.38589211618257263]
[['cat food'], 229, '->', ['other vegetables'], 1903, 0.2794759825327511]
[['ham'], 256, '->', ['other vegetables'], 1903, 0.3515625]
[['baking powder'], 174, '->', ['other vegetables'], 1903, 0.41379310344827586]
[['pickled vegetables'], 176, '->', ['other vegetables'], 1903, 0.35795454545454547]
[['oil'], 276, '->', ['other vegetables'], 1903, 0.35507246376811596]
[['frozen vegetables'], 473, '->', ['other vegetables'], 1903, 0.3699788583509514]
[['frozen meals'], 279, '->', ['other vegetables'], 1903, 0.26523297491039427]
[['onions'], 305, '->', ['other vegetables'], 1903, 0.45901639344262296]
[['herbs'], 160, '->', ['other vegetables'], 1903, 0.475]
[['sliced cheese'], 241, '->', ['other vegetables'], 1903, 0.36929460580912865]
[['soft cheese'], 168, '->', ['other vegetables'], 1903, 0.4166666666666667]
[['meat'], 254, '->', ['other vegetables'], 1903, 0.3858267716535433]
[['long life bakery product'], 368, '->', ['rolls/buns'], 1809, 0.21195652173913043]
[['long life bakery product'], 368, '->', ['soda'], 1715, 0.20380434782608695]
[['long life bakery product'], 368, '->', ['fruit/vegetable juice'], 711, 0.16576086956521738]
[['butter'], 545, '->', ['rolls/buns'], 1809, 0.24220183486238533]
[['butter'], 545, '->', ['bottled water'], 1087, 0.1614678899082569]
