[['citrus fruit'], 814]
[['frozen fruits'], 12]
[['cooking chocolate'], 25]
[['citrus fruit', 'semi-finished bread'], 24]
[['citrus fruit', 'margarine'], 78]
[['citrus fruit', 'tropical fruit'], 196]
[['citrus fruit', 'yogurt'], 213]
[['citrus fruit', 'coffee'], 63]
[['citrus fruit', 'whole milk'], 300]
[['citrus fruit', 'pip fruit'], 136]
[['citrus fruit', 'cream cheese'], 56]
[['citrus fruit', 'other vegetables'], 284]
[['citrus fruit', 'condensed milk'], 14]
[['citrus fruit', 'long life bakery product'], 41]
[['citrus fruit', 'butter'], 90]
[['citrus fruit', 'rice'], 18]
[['citrus fruit', 'rolls/buns'], 165]
[['citrus fruit', 'UHT-milk'], 45]
[['citrus fruit', 'bottled beer'], 60]
[['citrus fruit', 'potted plants'], 21]
[['citrus fruit', 'white bread'], 44]
[['citrus fruit', 'bottled water'], 133]
[['citrus fruit', 'chocolate'], 63]
[['citrus fruit', 'curd'], 70]
[['citrus fruit', 'flour'], 32]
[['citrus fruit', 'dishes'], 21]
[['citrus fruit', 'beef'], 83]
[['citrus fruit', 'frankfurter'], 64]
[['citrus fruit', 'soda'], 126]
[['citrus fruit', 'chicken'], 68]
[['citrus fruit', 'sugar'], 47]
[['citrus fruit', 'fruit/vegetable juice'], 102]
[['citrus fruit', 'newspapers'], 82]
[['citrus fruit', 'packaged fruit/vegetables'], 17]
[['citrus fruit', 'specialty bar'], 27]
[['citrus fruit', 'butter milk'], 44]
[['citrus fruit', 'pastry'], 96]
[['citrus fruit', 'processed cheese'], 21]
[['citrus fruit', 'detergent'], 23]
[['citrus fruit', 'root vegetables'], 174]
[['citrus fruit', 'frozen dessert'], 14]
[['citrus fruit', 'salty snack'], 36]
[['citrus fruit', 'waffles'], 42]
[['citrus fruit', 'candy'], 38]
[['citrus fruit', 'canned beer'], 42]
[['citrus fruit', 'sausage'], 111]
[['citrus fruit', 'brown bread'], 82]
[['citrus fruit', 'shopping bags'], 96]
[['citrus fruit', 'beverages'], 21]
[['citrus fruit', 'hamburger meat'], 39]
[['citrus fruit', 'hygiene articles'], 52]
[['citrus fruit', 'napkins'], 75]
[['citrus fruit', 'pork'], 64]
[['citrus fruit', 'berries'], 53]
[['citrus fruit', 'whipped/sour cream'], 107]
[['citrus fruit', 'grapes'], 38]
[['citrus fruit', 'dessert'], 42]
[['citrus fruit', 'domestic eggs'], 102]
[['citrus fruit', 'spread cheese'], 16]
[['citrus fruit', 'misc. beverages'], 22]
[['citrus fruit', 'hard cheese'], 31]
[['citrus fruit', 'cat food'], 36]
[['citrus fruit', 'ham'], 28]
[['citrus fruit', 'turkey'], 17]
[['citrus fruit', 'baking powder'], 34]
[['citrus fruit', 'pickled vegetables'], 30]
[['citrus fruit', 'oil'], 49]
[['citrus fruit', 'chewing gum'], 18]
[['citrus fruit', 'ice cream'], 16]
[['citrus fruit', 'frozen vegetables'], 65]
[['citrus fruit', 'canned fish'], 16]
[['citrus fruit', 'seasonal products'], 19]
[['citrus fruit', 'red/blush wine'], 20]
[['citrus fruit', 'specialty chocolate'], 23]
[['citrus fruit', 'candles'], 14]
[['citrus fruit', 'flower (seeds)'], 12]
[['citrus fruit', 'salt'], 15]
[['citrus fruit', 'frozen meals'], 33]
[['citrus fruit', 'canned vegetables'], 21]
[['citrus fruit', 'onions'], 55]
[['citrus fruit', 'herbs'], 29]
[['citrus fruit', 'white wine'], 12]
[['citrus fruit', 'sliced cheese'], 34]
[['citrus fruit', 'pasta'], 18]
[['citrus fruit', 'cling film/bags'], 16]
[['citrus fruit', 'canned fruit'], 11]
[['citrus fruit', 'Instant food products'], 11]
[['citrus fruit', 'soft cheese'], 26]
[['citrus fruit', 'cake bar'], 11]
[['citrus fruit', 'specialty cheese'], 14]
[['citrus fruit', 'dog food'], 14]
[['citrus fruit', 'frozen fish'], 16]
[['citrus fruit', 'female sanitary products'], 13]
[['citrus fruit', 'dish cleaner'], 16]
[['citrus fruit', 'meat'], 34]
[['citrus fruit', 'mustard'], 18]
[['citrus fruit', 'house keeping products'], 13]
[['citrus fruit', 'soups'], 16]
[['citrus fruit', 'vinegar'], 11]
[['citrus fruit', 'roll products'], 15]
[['citrus fruit', 'mayonnaise'], 11]
[['semi-finished bread', 'margarine'], 20]
[['semi-finished bread', 'tropical fruit'], 42]
[['semi-finished bread', 'yogurt'], 35]
[['semi-finished bread', 'coffee'], 13]
[['semi-finished bread', 'whole milk'], 70]
[['semi-finished bread', 'pip fruit'], 27]
[['semi-finished bread', 'other vegetables'], 51]
[['semi-finished bread', 'butter'], 12]
[['semi-finished bread', 'rolls/buns'], 34]
[['semi-finished bread', 'bottled beer'], 16]
[['semi-finished bread', 'white bread'], 14]
[['semi-finished bread', 'bottled water'], 25]
[['semi-finished bread', 'chocolate'], 14]
[['semi-finished bread', 'curd'], 20]
[['semi-finished bread', 'beef'], 15]
[['semi-finished bread', 'frankfurter'], 20]
[['semi-finished bread', 'soda'], 40]
[['semi-finished bread', 'chicken'], 11]
[['semi-finished bread', 'fruit/vegetable juice'], 24]
[['semi-finished bread', 'newspapers'], 26]
[['semi-finished bread', 'pastry'], 32]
[['semi-finished bread', 'root vegetables'], 23]
[['semi-finished bread', 'salty snack'], 11]
[['semi-finished bread', 'waffles'], 12]
[['semi-finished bread', 'candy'], 11]
[['semi-finished bread', 'sausage'], 28]
[['semi-finished bread', 'brown bread'], 17]
[['semi-finished bread', 'shopping bags'], 32]
[['semi-finished bread', 'napkins'], 14]
[['semi-finished bread', 'pork'], 18]
[['semi-finished bread', 'berries'], 11]
[['semi-finished bread', 'whipped/sour cream'], 24]
[['semi-finished bread', 'domestic eggs'], 17]
[['semi-finished bread', 'cat food'], 11]
[['semi-finished bread', 'ham'], 15]
[['semi-finished bread', 'frozen vegetables'], 22]
[['margarine', 'tropical fruit'], 92]
[['margarine', 'yogurt'], 140]
[['margarine', 'coffee'], 46]
[['margarine', 'whole milk'], 238]
[['margarine', 'pip fruit'], 84]
[['margarine', 'cream cheese'], 46]
[['margarine', 'other vegetables'], 194]
[['margarine', 'long life bakery product'], 32]
[['margarine', 'butter'], 66]
[['margarine', 'rice'], 11]
[['margarine', 'rolls/buns'], 145]
[['margarine', 'UHT-milk'], 39]
[['margarine', 'bottled beer'], 60]
[['margarine', 'potted plants'], 16]
[['margarine', 'white bread'], 37]
[['margarine', 'bottled water'], 101]
[['margarine', 'chocolate'], 31]
[['margarine', 'curd'], 62]
[['margarine', 'flour'], 37]
[['margarine', 'dishes'], 11]
[['margarine', 'beef'], 61]
[['margarine', 'frankfurter'], 63]
[['margarine', 'soda'], 100]
[['margarine', 'chicken'], 46]
[['margarine', 'sugar'], 54]
[['margarine', 'fruit/vegetable juice'], 61]
[['margarine', 'newspapers'], 70]
[['margarine', 'packaged fruit/vegetables'], 11]
[['margarine', 'specialty bar'], 15]
[['margarine', 'butter milk'], 20]
[['margarine', 'pastry'], 67]
[['margarine', 'processed cheese'], 20]
[['margarine', 'detergent'], 22]
[['margarine', 'root vegetables'], 109]
[['margarine', 'frozen dessert'], 15]
[['margarine', 'salty snack'], 29]
[['margarine', 'waffles'], 37]
[['margarine', 'candy'], 29]
[['margarine', 'canned beer'], 30]
[['margarine', 'sausage'], 70]
[['margarine', 'brown bread'], 64]
[['margarine', 'shopping bags'], 56]
[['margarine', 'hamburger meat'], 30]
[['margarine', 'hygiene articles'], 38]
[['margarine', 'napkins'], 44]
[['margarine', 'pork'], 63]
[['margarine', 'berries'], 26]
[['margarine', 'whipped/sour cream'], 67]
[['margarine', 'grapes'], 13]
[['margarine', 'dessert'], 30]
[['margarine', 'domestic eggs'], 82]
[['margarine', 'misc. beverages'], 16]
[['margarine', 'hard cheese'], 21]
[['margarine', 'cat food'], 29]
[['margarine', 'ham'], 26]
[['margarine', 'baking powder'], 30]
[['margarine', 'pickled vegetables'], 20]
[['margarine', 'oil'], 36]
[['margarine', 'chocolate marshmallow'], 13]
[['margarine', 'ice cream'], 11]
[['margarine', 'frozen vegetables'], 50]
[['margarine', 'canned fish'], 15]
[['margarine', 'red/blush wine'], 13]
[['margarine', 'specialty fat'], 12]
[['margarine', 'specialty chocolate'], 13]
[['margarine', 'candles'], 21]
[['margarine', 'flower (seeds)'], 14]
[['margarine', 'salt'], 14]
[['margarine', 'frozen meals'], 12]
[['margarine', 'canned vegetables'], 12]
[['margarine', 'onions'], 24]
[['margarine', 'herbs'], 17]
[['margarine', 'sliced cheese'], 30]
[['margarine', 'pasta'], 17]
[['margarine', 'cling film/bags'], 14]
[['margarine', 'soft cheese'], 22]
[['margarine', 'frozen fish'], 21]
[['margarine', 'meat'], 20]
[['margarine', 'mustard'], 16]
[['margarine', 'soups'], 13]
[['margarine', 'roll products'], 18]
[['margarine', 'mayonnaise'], 17]
[['tropical fruit', 'yogurt'], 288]
[['tropical fruit', 'coffee'], 70]
[['tropical fruit', 'whole milk'], 416]
[['tropical fruit', 'pip fruit'], 201]
[['tropical fruit', 'cream cheese'], 71]
[['tropical fruit', 'other vegetables'], 353]
[['tropical fruit', 'condensed milk'], 15]
[['tropical fruit', 'long life bakery product'], 62]
[['tropical fruit', 'butter'], 98]
[['tropical fruit', 'rice'], 19]
[['tropical fruit', 'rolls/buns'], 242]
[['tropical fruit', 'UHT-milk'], 49]
[['tropical fruit', 'bottled beer'], 81]
[['tropical fruit', 'potted plants'], 30]
[['tropical fruit', 'white bread'], 86]
[['tropical fruit', 'bottled water'], 182]
[['tropical fruit', 'chocolate'], 80]
[['tropical fruit', 'curd'], 101]
[['tropical fruit', 'flour'], 32]
[['tropical fruit', 'dishes'], 19]
[['tropical fruit', 'beef'], 75]
[['tropical fruit', 'frankfurter'], 93]
[['tropical fruit', 'soda'], 205]
[['tropical fruit', 'chicken'], 63]
[['tropical fruit', 'sugar'], 47]
[['tropical fruit', 'fruit/vegetable juice'], 135]
[['tropical fruit', 'newspapers'], 116]
[['tropical fruit', 'packaged fruit/vegetables'], 19]
[['tropical fruit', 'specialty bar'], 32]
[['tropical fruit', 'butter milk'], 54]
[['tropical fruit', 'pastry'], 130]
[['tropical fruit', 'processed cheese'], 42]
[['tropical fruit', 'detergent'], 33]
[['tropical fruit', 'root vegetables'], 207]
[['tropical fruit', 'frozen dessert'], 26]
[['tropical fruit', 'sweet spreads'], 13]
[['tropical fruit', 'salty snack'], 55]
[['tropical fruit', 'waffles'], 60]
[['tropical fruit', 'candy'], 53]
[['tropical fruit', 'canned beer'], 30]
[['tropical fruit', 'sausage'], 137]
[['tropical fruit', 'brown bread'], 105]
[['tropical fruit', 'shopping bags'], 133]
[['tropical fruit', 'beverages'], 42]
[['tropical fruit', 'hamburger meat'], 42]
[['tropical fruit', 'spices'], 11]
[['tropical fruit', 'hygiene articles'], 66]
[['tropical fruit', 'napkins'], 99]
[['tropical fruit', 'pork'], 84]
[['tropical fruit', 'berries'], 66]
[['tropical fruit', 'whipped/sour cream'], 136]
[['tropical fruit', 'grapes'], 60]
[['tropical fruit', 'dessert'], 62]
[['tropical fruit', 'zwieback'], 14]
[['tropical fruit', 'domestic eggs'], 112]
[['tropical fruit', 'spread cheese'], 20]
[['tropical fruit', 'misc. beverages'], 45]
[['tropical fruit', 'hard cheese'], 40]
[['tropical fruit', 'cat food'], 47]
[['tropical fruit', 'ham'], 53]
[['tropical fruit', 'turkey'], 26]
[['tropical fruit', 'baking powder'], 37]
[['tropical fruit', 'pickled vegetables'], 37]
[['tropical fruit', 'oil'], 46]
[['tropical fruit', 'chewing gum'], 25]
[['tropical fruit', 'chocolate marshmallow'], 18]
[['tropical fruit', 'ice cream'], 40]
[['tropical fruit', 'frozen vegetables'], 86]
[['tropical fruit', 'canned fish'], 24]
[['tropical fruit', 'seasonal products'], 23]
[['tropical fruit', 'curd cheese'], 15]
[['tropical fruit', 'red/blush wine'], 25]
[['tropical fruit', 'frozen potato products'], 11]
[['tropical fruit', 'specialty chocolate'], 33]
[['tropical fruit', 'candles'], 15]
[['tropical fruit', 'flower (seeds)'], 12]
[['tropical fruit', 'salt'], 14]
[['tropical fruit', 'frozen meals'], 54]
[['tropical fruit', 'canned vegetables'], 27]
[['tropical fruit', 'onions'], 56]
[['tropical fruit', 'herbs'], 28]
[['tropical fruit', 'white wine'], 12]
[['tropical fruit', 'sliced cheese'], 52]
[['tropical fruit', 'pasta'], 22]
[['tropical fruit', 'cling film/bags'], 19]
[['tropical fruit', 'Instant food products'], 15]
[['tropical fruit', 'soft cheese'], 32]
[['tropical fruit', 'popcorn'], 11]
[['tropical fruit', 'cake bar'], 19]
[['tropical fruit', 'specialty cheese'], 16]
[['tropical fruit', 'dog food'], 16]
[['tropical fruit', 'frozen fish'], 25]
[['tropical fruit', 'dish cleaner'], 14]
[['tropical fruit', 'meat'], 33]
[['tropical fruit', 'tea'], 13]
[['tropical fruit', 'mustard'], 26]
[['tropical fruit', 'house keeping products'], 16]
[['tropical fruit', 'pet care'], 13]
[['tropical fruit', 'sauces'], 12]
[['tropical fruit', 'instant coffee'], 12]
[['tropical fruit', 'roll products'], 20]
[['tropical fruit', 'mayonnaise'], 16]
[['tropical fruit', 'kitchen towels'], 13]
[['tropical fruit', 'jam'], 11]
[['yogurt', 'coffee'], 96]
[['yogurt', 'whole milk'], 551]
[['yogurt', 'pip fruit'], 177]
[['yogurt', 'cream cheese'], 122]
[['yogurt', 'meat spreads'], 18]
[['yogurt', 'other vegetables'], 427]
[['yogurt', 'condensed milk'], 16]
[['yogurt', 'long life bakery product'], 86]
[['yogurt', 'butter'], 144]
[['yogurt', 'rice'], 23]
[['yogurt', 'rolls/buns'], 338]
[['yogurt', 'UHT-milk'], 73]
[['yogurt', 'bottled beer'], 91]
[['yogurt', 'potted plants'], 38]
[['yogurt', 'cereals'], 21]
[['yogurt', 'white bread'], 89]
[['yogurt', 'bottled water'], 226]
[['yogurt', 'chocolate'], 91]
[['yogurt', 'curd'], 170]
[['yogurt', 'flour'], 48]
[['yogurt', 'dishes'], 37]
[['yogurt', 'beef'], 115]
[['yogurt', 'frankfurter'], 110]
[['yogurt', 'soda'], 269]
[['yogurt', 'chicken'], 82]
[['yogurt', 'sugar'], 68]
[['yogurt', 'fruit/vegetable juice'], 184]
[['yogurt', 'newspapers'], 151]
[['yogurt', 'packaged fruit/vegetables'], 25]
[['yogurt', 'specialty bar'], 44]
[['yogurt', 'butter milk'], 84]
[['yogurt', 'pastry'], 174]
[['yogurt', 'processed cheese'], 26]
[['yogurt', 'detergent'], 39]
[['yogurt', 'root vegetables'], 254]
[['yogurt', 'frozen dessert'], 19]
[['yogurt', 'sweet spreads'], 22]
[['yogurt', 'salty snack'], 61]
[['yogurt', 'waffles'], 74]
[['yogurt', 'candy'], 54]
[['yogurt', 'canned beer'], 53]
[['yogurt', 'sausage'], 193]
[['yogurt', 'brown bread'], 143]
[['yogurt', 'shopping bags'], 150]
[['yogurt', 'beverages'], 54]
[['yogurt', 'hamburger meat'], 64]
[['yogurt', 'spices'], 12]
[['yogurt', 'hygiene articles'], 72]
[['yogurt', 'napkins'], 121]
[['yogurt', 'pork'], 94]
[['yogurt', 'berries'], 104]
[['yogurt', 'whipped/sour cream'], 204]
[['yogurt', 'artif. sweetener'], 11]
[['yogurt', 'grapes'], 46]
[['yogurt', 'dessert'], 97]
[['yogurt', 'zwieback'], 14]
[['yogurt', 'domestic eggs'], 141]
[['yogurt', 'spread cheese'], 35]
[['yogurt', 'misc. beverages'], 44]
[['yogurt', 'hard cheese'], 63]
[['yogurt', 'cat food'], 61]
[['yogurt', 'ham'], 66]
[['yogurt', 'turkey'], 23]
[['yogurt', 'baking powder'], 45]
[['yogurt', 'pickled vegetables'], 37]
[['yogurt', 'oil'], 52]
[['yogurt', 'chewing gum'], 23]
[['yogurt', 'chocolate marshmallow'], 15]
[['yogurt', 'ice cream'], 35]
[['yogurt', 'frozen vegetables'], 122]
[['yogurt', 'canned fish'], 32]
[['yogurt', 'seasonal products'], 32]
[['yogurt', 'curd cheese'], 13]
[['yogurt', 'red/blush wine'], 24]
[['yogurt', 'frozen potato products'], 22]
[['yogurt', 'specialty chocolate'], 47]
[['yogurt', 'candles'], 12]
[['yogurt', 'flower (seeds)'], 14]
[['yogurt', 'salt'], 22]
[['yogurt', 'frozen meals'], 61]
[['yogurt', 'canned vegetables'], 30]
[['yogurt', 'onions'], 71]
[['yogurt', 'herbs'], 35]
[['yogurt', 'white wine'], 20]
[['yogurt', 'photo/film'], 11]
[['yogurt', 'sliced cheese'], 79]
[['yogurt', 'pasta'], 31]
[['yogurt', 'softener'], 12]
[['yogurt', 'cling film/bags'], 25]
[['yogurt', 'Instant food products'], 14]
[['yogurt', 'soft cheese'], 59]
[['yogurt', 'dental care'], 11]
[['yogurt', 'popcorn'], 13]
[['yogurt', 'cake bar'], 24]
[['yogurt', 'specialty cheese'], 28]
[['yogurt', 'dog food'], 19]
[['yogurt', 'frozen fish'], 32]
[['yogurt', 'cleaner'], 16]
[['yogurt', 'female sanitary products'], 16]
[['yogurt', 'dish cleaner'], 24]
[['yogurt', 'meat'], 52]
[['yogurt', 'mustard'], 23]
[['yogurt', 'house keeping products'], 18]
[['yogurt', 'pet care'], 14]
[['yogurt', 'vinegar'], 18]
[['yogurt', 'instant coffee'], 21]
[['yogurt', 'roll products'], 22]
[['yogurt', 'mayonnaise'], 27]
[['yogurt', 'liver loaf'], 15]
[['yogurt', 'kitchen towels'], 12]
[['yogurt', 'light bulbs'], 12]
[['yogurt', 'ketchup'], 11]
[['yogurt', 'jam'], 12]
[['coffee', 'whole milk'], 184]
[['coffee', 'pip fruit'], 68]
[['coffee', 'cream cheese'], 37]
[['coffee', 'other vegetables'], 132]
[['coffee', 'condensed milk'], 25]
[['coffee', 'long life bakery product'], 34]
[['coffee', 'butter'], 47]
[['coffee', 'rice'], 12]
[['coffee', 'rolls/buns'], 108]
[['coffee', 'UHT-milk'], 42]
[['coffee', 'bottled beer'], 49]
[['coffee', 'potted plants'], 12]
[['coffee', 'white bread'], 31]
[['coffee', 'bottled water'], 72]
[['coffee', 'chocolate'], 38]
[['coffee', 'curd'], 32]
[['coffee', 'flour'], 18]
[['coffee', 'dishes'], 13]
[['coffee', 'beef'], 37]
[['coffee', 'frankfurter'], 50]
[['coffee', 'soda'], 98]
[['coffee', 'chicken'], 38]
[['coffee', 'sugar'], 47]
[['coffee', 'fruit/vegetable juice'], 59]
[['coffee', 'newspapers'], 45]
[['coffee', 'specialty bar'], 16]
[['coffee', 'butter milk'], 26]
[['coffee', 'pastry'], 68]
[['coffee', 'processed cheese'], 12]
[['coffee', 'detergent'], 13]
[['coffee', 'root vegetables'], 72]
[['coffee', 'frozen dessert'], 14]
[['coffee', 'salty snack'], 30]
[['coffee', 'waffles'], 30]
[['coffee', 'candy'], 27]
[['coffee', 'canned beer'], 41]
[['coffee', 'sausage'], 68]
[['coffee', 'brown bread'], 37]
[['coffee', 'shopping bags'], 92]
[['coffee', 'hamburger meat'], 29]
[['coffee', 'hygiene articles'], 32]
[['coffee', 'napkins'], 40]
[['coffee', 'pork'], 35]
[['coffee', 'berries'], 25]
[['coffee', 'whipped/sour cream'], 60]
[['coffee', 'grapes'], 19]
[['coffee', 'dessert'], 23]
[['coffee', 'domestic eggs'], 49]
[['coffee', 'misc. beverages'], 13]
[['coffee', 'hard cheese'], 18]
[['coffee', 'cat food'], 27]
[['coffee', 'ham'], 17]
[['coffee', 'baking powder'], 12]
[['coffee', 'pickled vegetables'], 23]
[['coffee', 'oil'], 33]
[['coffee', 'chewing gum'], 12]
[['coffee', 'ice cream'], 19]
[['coffee', 'frozen vegetables'], 44]
[['coffee', 'canned fish'], 17]
[['coffee', 'seasonal products'], 17]
[['coffee', 'red/blush wine'], 19]
[['coffee', 'specialty chocolate'], 18]
[['coffee', 'frozen meals'], 23]
[['coffee', 'onions'], 25]
[['coffee', 'sliced cheese'], 25]
[['coffee', 'pasta'], 14]
[['coffee', 'cling film/bags'], 21]
[['coffee', 'soft cheese'], 21]
[['coffee', 'dish cleaner'], 13]
[['coffee', 'meat'], 22]
[['coffee', 'mustard'], 14]
[['coffee', 'soups'], 11]
[['coffee', 'roll products'], 14]
[['coffee', 'mayonnaise'], 11]
[['coffee', 'kitchen towels'], 12]
[['whole milk', 'pip fruit'], 296]
[['whole milk', 'cream cheese'], 162]
[['whole milk', 'meat spreads'], 13]
[['whole milk', 'other vegetables'], 736]
[['whole milk', 'condensed milk'], 24]
[['whole milk', 'long life bakery product'], 133]
[['whole milk', 'butter'], 271]
[['whole milk', 'rice'], 46]
[['whole milk', 'abrasive cleaner'], 16]
[['whole milk', 'rolls/buns'], 557]
[['whole milk', 'UHT-milk'], 39]
[['whole milk', 'bottled beer'], 201]
[['whole milk', 'liquor (appetizer)'], 16]
[['whole milk', 'potted plants'], 68]
[['whole milk', 'cereals'], 36]
[['whole milk', 'white bread'], 168]
[['whole milk', 'bottled water'], 338]
[['whole milk', 'chocolate'], 164]
[['whole milk', 'curd'], 257]
[['whole milk', 'flour'], 83]
[['whole milk', 'dishes'], 52]
[['whole milk', 'beef'], 209]
[['whole milk', 'frankfurter'], 202]
[['whole milk', 'soda'], 394]
[['whole milk', 'chicken'], 173]
[['whole milk', 'sugar'], 148]
[['whole milk', 'fruit/vegetable juice'], 262]
[['whole milk', 'newspapers'], 269]
[['whole milk', 'packaged fruit/vegetables'], 39]
[['whole milk', 'specialty bar'], 64]
[['whole milk', 'butter milk'], 114]
[['whole milk', 'pastry'], 327]
[['whole milk', 'processed cheese'], 69]
[['whole milk', 'detergent'], 88]
[['whole milk', 'root vegetables'], 481]
[['whole milk', 'frozen dessert'], 39]
[['whole milk', 'sweet spreads'], 35]
[['whole milk', 'salty snack'], 110]
[['whole milk', 'waffles'], 125]
[['whole milk', 'candy'], 81]
[['whole milk', 'canned beer'], 87]
[['whole milk', 'sausage'], 294]
[['whole milk', 'brown bread'], 248]
[['whole milk', 'shopping bags'], 241]
[['whole milk', 'beverages'], 67]
[['whole milk', 'hamburger meat'], 145]
[['whole milk', 'spices'], 14]
[['whole milk', 'hygiene articles'], 126]
[['whole milk', 'napkins'], 194]
[['whole milk', 'pork'], 218]
[['whole milk', 'berries'], 116]
[['whole milk', 'whipped/sour cream'], 317]
[['whole milk', 'artif. sweetener'], 11]
[['whole milk', 'grapes'], 72]
[['whole milk', 'dessert'], 135]
[['whole milk', 'zwieback'], 17]
[['whole milk', 'domestic eggs'], 295]
[['whole milk', 'spread cheese'], 31]
[['whole milk', 'misc. beverages'], 69]
[['whole milk', 'hard cheese'], 99]
[['whole milk', 'cat food'], 87]
[['whole milk', 'ham'], 113]
[['whole milk', 'turkey'], 36]
[['whole milk', 'baking powder'], 91]
[['whole milk', 'pickled vegetables'], 70]
[['whole milk', 'oil'], 111]
[['whole milk', 'chewing gum'], 50]
[['whole milk', 'chocolate marshmallow'], 31]
[['whole milk', 'ice cream'], 58]
[['whole milk', 'frozen vegetables'], 201]
[['whole milk', 'canned fish'], 47]
[['whole milk', 'seasonal products'], 37]
[['whole milk', 'curd cheese'], 23]
[['whole milk', 'red/blush wine'], 39]
[['whole milk', 'frozen potato products'], 34]
[['whole milk', 'specialty fat'], 12]
[['whole milk', 'specialty chocolate'], 79]
[['whole milk', 'candles'], 30]
[['whole milk', 'flower (seeds)'], 39]
[['whole milk', 'salt'], 38]
[['whole milk', 'frozen meals'], 97]
[['whole milk', 'canned vegetables'], 38]
[['whole milk', 'onions'], 119]
[['whole milk', 'herbs'], 76]
[['whole milk', 'white wine'], 26]
[['whole milk', 'photo/film'], 23]
[['whole milk', 'sliced cheese'], 106]
[['whole milk', 'pasta'], 60]
[['whole milk', 'softener'], 21]
[['whole milk', 'cling film/bags'], 36]
[['whole milk', 'canned fruit'], 13]
[['whole milk', 'Instant food products'], 30]
[['whole milk', 'soft cheese'], 74]
[['whole milk', 'honey'], 11]
[['whole milk', 'dental care'], 18]
[['whole milk', 'popcorn'], 26]
[['whole milk', 'cake bar'], 55]
