[['rice'], 75, '->', ['whole milk'], 2513, 0.6133333333333333]
[['cereals'], 56, '->', ['whole milk'], 2513, 0.6428571428571429]
[['baking powder'], 174, '->', ['whole milk'], 2513, 0.5229885057471264]
[['honey'], 15, '->', ['whole milk'], 2513, 0.7333333333333333]
[['cocoa drinks'], 22, '->', ['whole milk'], 2513, 0.5909090909090909]
[['jam'], 53, '->', ['whole milk'], 2513, 0.5471698113207547]
[['pudding powder'], 23, '->', ['whole milk'], 2513, 0.5652173913043478]
[['cooking chocolate'], 25, '->', ['whole milk'], 2513, 0.52]
[['rice'], 75, '->', ['other vegetables'], 1903, 0.52]
[['specialty cheese'], 84, '->', ['other vegetables'], 1903, 0.5]
[['tidbits'], 23, '->', ['rolls/buns'], 1809, 0.5217391304347826]
[['semi-finished bread', 'pork'], 18, '->', ['other vegetables'], 1903, 0.7777777777777778]
[['semi-finished bread', 'whipped/sour cream'], 24, '->', ['other vegetables'], 1903, 0.625]
[['semi-finished bread', 'frozen vegetables'], 22, '->', ['other vegetables'], 1903, 0.5]
[['margarine', 'onions'], 24, '->', ['yogurt'], 1372, 0.5416666666666666]
[['margarine', 'soft cheese'], 22, '->', ['yogurt'], 1372, 0.5]
[['margarine', 'rolls/buns'], 145, '->', ['whole milk'], 2513, 0.5379310344827586]
[['margarine', 'bottled beer'], 60, '->', ['whole milk'], 2513, 0.5]
[['margarine', 'white bread'], 37, '->', ['whole milk'], 2513, 0.6756756756756757]
[['margarine', 'chocolate'], 31, '->', ['whole milk'], 2513, 0.5483870967741935]
[['margarine', 'curd'], 62, '->', ['whole milk'], 2513, 0.5483870967741935]
[['margarine', 'flour'], 37, '->', ['whole milk'], 2513, 0.5135135135135135]
[['margarine', 'fruit/vegetable juice'], 61, '->', ['whole milk'], 2513, 0.5409836065573771]
[['margarine', 'pastry'], 67, '->', ['whole milk'], 2513, 0.5223880597014925]
[['margarine', 'processed cheese'], 20, '->', ['whole milk'], 2513, 0.65]
[['margarine', 'waffles'], 37, '->', ['whole milk'], 2513, 0.5135135135135135]
[['margarine', 'hamburger meat'], 30, '->', ['whole milk'], 2513, 0.6]
[['margarine', 'hygiene articles'], 38, '->', ['whole milk'], 2513, 0.5789473684210527]
[['margarine', 'napkins'], 44, '->', ['whole milk'], 2513, 0.5]
[['margarine', 'berries'], 26, '->', ['whole milk'], 2513, 0.6923076923076923]
[['margarine', 'whipped/sour cream'], 67, '->', ['whole milk'], 2513, 0.5970149253731343]
[['margarine', 'dessert'], 30, '->', ['whole milk'], 2513, 0.5]
[['margarine', 'domestic eggs'], 82, '->', ['whole milk'], 2513, 0.6219512195121951]
[['margarine', 'hard cheese'], 21, '->', ['whole milk'], 2513, 0.7142857142857143]
[['margarine', 'ham'], 26, '->', ['whole milk'], 2513, 0.5769230769230769]
[['margarine', 'baking powder'], 30, '->', ['whole milk'], 2513, 0.6]
[['margarine', 'frozen vegetables'], 50, '->', ['whole milk'], 2513, 0.54]
[['margarine', 'onions'], 24, '->', ['whole milk'], 2513, 0.5833333333333334]
[['margarine', 'sliced cheese'], 30, '->', ['whole milk'], 2513, 0.5]
[['margarine', 'soft cheese'], 22, '->', ['whole milk'], 2513, 0.6363636363636364]
[['margarine', 'butter'], 66, '->', ['other vegetables'], 1903, 0.5303030303030303]
[['margarine', 'butter milk'], 20, '->', ['other vegetables'], 1903, 0.55]
[['margarine', 'root vegetables'], 109, '->', ['other vegetables'], 1903, 0.5321100917431193]
[['margarine', 'hamburger meat'], 30, '->', ['other vegetables'], 1903, 0.5666666666666667]
[['margarine', 'berries'], 26, '->', ['other vegetables'], 1903, 0.5769230769230769]
[['margarine', 'whipped/sour cream'], 67, '->', ['other vegetables'], 1903, 0.5074626865671642]
[['margarine', 'hard cheese'], 21, '->', ['other vegetables'], 1903, 0.5238095238095238]
[['margarine', 'ham'], 26, '->', ['other vegetables'], 1903, 0.6538461538461539]
[['margarine', 'baking powder'], 30, '->', ['other vegetables'], 1903, 0.5666666666666667]
[['margarine', 'oil'], 36, '->', ['other vegetables'], 1903, 0.5555555555555556]
[['margarine', 'herbs'], 17, '->', ['other vegetables'], 1903, 0.6470588235294118]
[['margarine', 'sliced cheese'], 30, '->', ['other vegetables'], 1903, 0.5333333333333333]
[['margarine', 'soft cheese'], 22, '->', ['other vegetables'], 1903, 0.6818181818181818]
[['margarine', 'meat'], 20, '->', ['other vegetables'], 1903, 0.85]
[['margarine', 'roll products'], 18, '->', ['other vegetables'], 1903, 0.6111111111111112]
[['tropical fruit', 'yogurt'], 288, '->', ['whole milk'], 2513, 0.5173611111111112]
[['tropical fruit', 'curd'], 101, '->', ['yogurt'], 1372, 0.5148514851485149]
[['yogurt', 'processed cheese'], 26, '->', ['tropical fruit'], 1032, 0.5]
[['yogurt', 'turkey'], 23, '->', ['tropical fruit'], 1032, 0.5217391304347826]
[['tropical fruit', 'sliced cheese'], 52, '->', ['yogurt'], 1372, 0.5192307692307693]
[['tropical fruit', 'soft cheese'], 32, '->', ['yogurt'], 1372, 0.59375]
[['tropical fruit', 'long life bakery product'], 62, '->', ['whole milk'], 2513, 0.5161290322580645]
[['tropical fruit', 'butter'], 98, '->', ['whole milk'], 2513, 0.6224489795918368]
[['tropical fruit', 'rice'], 19, '->', ['whole milk'], 2513, 0.7894736842105263]
[['tropical fruit', 'potted plants'], 30, '->', ['whole milk'], 2513, 0.6333333333333333]
[['tropical fruit', 'white bread'], 86, '->', ['whole milk'], 2513, 0.5232558139534884]
[['tropical fruit', 'curd'], 101, '->', ['whole milk'], 2513, 0.6336633663366337]
[['tropical fruit', 'flour'], 32, '->', ['whole milk'], 2513, 0.5]
[['tropical fruit', 'beef'], 75, '->', ['whole milk'], 2513, 0.6]
[['tropical fruit', 'frankfurter'], 93, '->', ['whole milk'], 2513, 0.5483870967741935]
[['tropical fruit', 'sugar'], 47, '->', ['whole milk'], 2513, 0.5957446808510638]
[['tropical fruit', 'specialty bar'], 32, '->', ['whole milk'], 2513, 0.5]
[['tropical fruit', 'butter milk'], 54, '->', ['whole milk'], 2513, 0.5185185185185185]
[['tropical fruit', 'pastry'], 130, '->', ['whole milk'], 2513, 0.5076923076923077]
[['tropical fruit', 'detergent'], 33, '->', ['whole milk'], 2513, 0.6060606060606061]
[['tropical fruit', 'root vegetables'], 207, '->', ['whole milk'], 2513, 0.5700483091787439]
[['tropical fruit', 'frozen dessert'], 26, '->', ['whole milk'], 2513, 0.5384615384615384]
[['tropical fruit', 'sausage'], 137, '->', ['whole milk'], 2513, 0.5182481751824818]
[['tropical fruit', 'brown bread'], 105, '->', ['whole milk'], 2513, 0.5333333333333333]
[['tropical fruit', 'hygiene articles'], 66, '->', ['whole milk'], 2513, 0.6060606060606061]
[['tropical fruit', 'berries'], 66, '->', ['whole milk'], 2513, 0.5]
[['tropical fruit', 'whipped/sour cream'], 136, '->', ['whole milk'], 2513, 0.5735294117647058]
[['tropical fruit', 'domestic eggs'], 112, '->', ['whole milk'], 2513, 0.6071428571428571]
[['tropical fruit', 'hard cheese'], 40, '->', ['whole milk'], 2513, 0.575]
[['tropical fruit', 'cat food'], 47, '->', ['whole milk'], 2513, 0.5531914893617021]
[['tropical fruit', 'ham'], 53, '->', ['whole milk'], 2513, 0.5094339622641509]
[['tropical fruit', 'turkey'], 26, '->', ['whole milk'], 2513, 0.5384615384615384]
[['tropical fruit', 'baking powder'], 37, '->', ['whole milk'], 2513, 0.5405405405405406]
[['tropical fruit', 'oil'], 46, '->', ['whole milk'], 2513, 0.5434782608695652]
[['tropical fruit', 'chewing gum'], 25, '->', ['whole milk'], 2513, 0.52]
[['tropical fruit', 'frozen vegetables'], 86, '->', ['whole milk'], 2513, 0.5697674418604651]
[['tropical fruit', 'red/blush wine'], 25, '->', ['whole milk'], 2513, 0.52]
[['tropical fruit', 'frozen meals'], 54, '->', ['whole milk'], 2513, 0.6481481481481481]
[['tropical fruit', 'onions'], 56, '->', ['whole milk'], 2513, 0.5]
[['tropical fruit', 'herbs'], 28, '->', ['whole milk'], 2513, 0.8214285714285714]
[['tropical fruit', 'sliced cheese'], 52, '->', ['whole milk'], 2513, 0.5384615384615384]
[['tropical fruit', 'soft cheese'], 32, '->', ['whole milk'], 2513, 0.65625]
[['tropical fruit', 'cake bar'], 19, '->', ['whole milk'], 2513, 0.7368421052631579]
[['tropical fruit', 'frozen fish'], 25, '->', ['whole milk'], 2513, 0.6]
[['tropical fruit', 'mustard'], 26, '->', ['whole milk'], 2513, 0.5384615384615384]
[['tropical fruit', 'house keeping products'], 16, '->', ['whole milk'], 2513, 0.6875]
[['tropical fruit', 'roll products'], 20, '->', ['whole milk'], 2513, 0.55]
[['pip fruit', 'processed cheese'], 23, '->', ['tropical fruit'], 1032, 0.5217391304347826]
[['pip fruit', 'grapes'], 37, '->', ['tropical fruit'], 1032, 0.5675675675675675]
[['pip fruit', 'misc. beverages'], 21, '->', ['tropical fruit'], 1032, 0.6190476190476191]
[['pip fruit', 'cat food'], 24, '->', ['tropical fruit'], 1032, 0.5833333333333334]
[['pip fruit', 'ice cream'], 24, '->', ['tropical fruit'], 1032, 0.5]
[['pip fruit', 'frozen fish'], 21, '->', ['tropical fruit'], 1032, 0.5714285714285714]
[['tropical fruit', 'butter'], 98, '->', ['other vegetables'], 1903, 0.5510204081632653]
[['tropical fruit', 'rice'], 19, '->', ['other vegetables'], 1903, 0.631578947368421]
[['tropical fruit', 'potted plants'], 30, '->', ['other vegetables'], 1903, 0.5666666666666667]
[['tropical fruit', 'curd'], 101, '->', ['other vegetables'], 1903, 0.5148514851485149]
[['tropical fruit', 'flour'], 32, '->', ['other vegetables'], 1903, 0.5625]
[['tropical fruit', 'beef'], 75, '->', ['other vegetables'], 1903, 0.5866666666666667]
[['tropical fruit', 'chicken'], 63, '->', ['other vegetables'], 1903, 0.5714285714285714]
[['tropical fruit', 'detergent'], 33, '->', ['other vegetables'], 1903, 0.5151515151515151]
[['tropical fruit', 'root vegetables'], 207, '->', ['other vegetables'], 1903, 0.5845410628019324]
[['tropical fruit', 'frozen dessert'], 26, '->', ['other vegetables'], 1903, 0.5384615384615384]
[['tropical fruit', 'salty snack'], 55, '->', ['other vegetables'], 1903, 0.509090909090909]
[['tropical fruit', 'hamburger meat'], 42, '->', ['other vegetables'], 1903, 0.5476190476190477]
[['tropical fruit', 'whipped/sour cream'], 136, '->', ['other vegetables'], 1903, 0.5661764705882353]
[['tropical fruit', 'grapes'], 60, '->', ['other vegetables'], 1903, 0.6]
[['tropical fruit', 'hard cheese'], 40, '->', ['other vegetables'], 1903, 0.5]
[['tropical fruit', 'turkey'], 26, '->', ['other vegetables'], 1903, 0.6153846153846154]
[['tropical fruit', 'pickled vegetables'], 37, '->', ['other vegetables'], 1903, 0.5405405405405406]
[['tropical fruit', 'oil'], 46, '->', ['other vegetables'], 1903, 0.5434782608695652]
[['tropical fruit', 'onions'], 56, '->', ['other vegetables'], 1903, 0.6428571428571429]
[['tropical fruit', 'herbs'], 28, '->', ['other vegetables'], 1903, 0.5714285714285714]
[['tropical fruit', 'sliced cheese'], 52, '->', ['other vegetables'], 1903, 0.5769230769230769]
[['tropical fruit', 'soft cheese'], 32, '->', ['other vegetables'], 1903, 0.65625]
[['tropical fruit', 'frozen fish'], 25, '->', ['other vegetables'], 1903, 0.6]
[['tropical fruit', 'meat'], 33, '->', ['other vegetables'], 1903, 0.5454545454545454]
[['tropical fruit', 'canned beer'], 30, '->', ['soda'], 1715, 0.5666666666666667]
[['fruit/vegetable juice', 'grapes'], 32, '->', ['tropical fruit'], 1032, 0.5]
[['root vegetables', 'turkey'], 25, '->', ['tropical fruit'], 1032, 0.6]
[['tropical fruit', 'turkey'], 26, '->', ['root vegetables'], 1072, 0.5769230769230769]
[['tropical fruit', 'herbs'], 28, '->', ['root vegetables'], 1072, 0.6071428571428571]
[['yogurt', 'coffee'], 96, '->', ['whole milk'], 2513, 0.5208333333333334]
[['coffee', 'specialty bar'], 16, '->', ['yogurt'], 1372, 0.6875]
[['yogurt', 'pip fruit'], 177, '->', ['whole milk'], 2513, 0.5310734463276836]
[['yogurt', 'cream cheese'], 122, '->', ['whole milk'], 2513, 0.5327868852459017]
[['yogurt', 'other vegetables'], 427, '->', ['whole milk'], 2513, 0.5128805620608899]
[['yogurt', 'long life bakery product'], 86, '->', ['whole milk'], 2513, 0.5232558139534884]
[['yogurt', 'butter'], 144, '->', ['whole milk'], 2513, 0.6388888888888888]
[['yogurt', 'rice'], 23, '->', ['whole milk'], 2513, 0.782608695652174]
[['yogurt', 'bottled beer'], 91, '->', ['whole milk'], 2513, 0.5604395604395604]
[['yogurt', 'potted plants'], 38, '->', ['whole milk'], 2513, 0.5263157894736842]
[['yogurt', 'cereals'], 21, '->', ['whole milk'], 2513, 0.8095238095238095]
[['yogurt', 'white bread'], 89, '->', ['whole milk'], 2513, 0.5393258426966292]
[['yogurt', 'curd'], 170, '->', ['whole milk'], 2513, 0.5823529411764706]
[['yogurt', 'flour'], 48, '->', ['whole milk'], 2513, 0.5208333333333334]
[['yogurt', 'beef'], 115, '->', ['whole milk'], 2513, 0.5217391304347826]
[['yogurt', 'frankfurter'], 110, '->', ['whole milk'], 2513, 0.5545454545454546]
[['yogurt', 'sugar'], 68, '->', ['whole milk'], 2513, 0.5294117647058824]
[['yogurt', 'fruit/vegetable juice'], 184, '->', ['whole milk'], 2513, 0.5054347826086957]
[['yogurt', 'butter milk'], 84, '->', ['whole milk'], 2513, 0.5357142857142857]
[['yogurt', 'pastry'], 174, '->', ['whole milk'], 2513, 0.5172413793103449]
[['yogurt', 'detergent'], 39, '->', ['whole milk'], 2513, 0.5384615384615384]
[['yogurt', 'root vegetables'], 254, '->', ['whole milk'], 2513, 0.562992125984252]
[['yogurt', 'frozen dessert'], 19, '->', ['whole milk'], 2513, 0.5789473684210527]
[['yogurt', 'sweet spreads'], 22, '->', ['whole milk'], 2513, 0.5454545454545454]
[['yogurt', 'hamburger meat'], 64, '->', ['whole milk'], 2513, 0.609375]
[['yogurt', 'hygiene articles'], 72, '->', ['whole milk'], 2513, 0.5416666666666666]
[['yogurt', 'pork'], 94, '->', ['whole milk'], 2513, 0.5106382978723404]
[['yogurt', 'whipped/sour cream'], 204, '->', ['whole milk'], 2513, 0.5245098039215687]
[['yogurt', 'grapes'], 46, '->', ['whole milk'], 2513, 0.5]
[['yogurt', 'domestic eggs'], 141, '->', ['whole milk'], 2513, 0.5390070921985816]
[['yogurt', 'hard cheese'], 63, '->', ['whole milk'], 2513, 0.6507936507936508]
[['yogurt', 'ham'], 66, '->', ['whole milk'], 2513, 0.5909090909090909]
[['yogurt', 'turkey'], 23, '->', ['whole milk'], 2513, 0.6521739130434783]
[['yogurt', 'baking powder'], 45, '->', ['whole milk'], 2513, 0.7111111111111111]
[['yogurt', 'oil'], 52, '->', ['whole milk'], 2513, 0.5961538461538461]
[['yogurt', 'canned fish'], 32, '->', ['whole milk'], 2513, 0.5]
[['yogurt', 'frozen potato products'], 22, '->', ['whole milk'], 2513, 0.6818181818181818]
[['yogurt', 'specialty chocolate'], 47, '->', ['whole milk'], 2513, 0.5319148936170213]
[['yogurt', 'salt'], 22, '->', ['whole milk'], 2513, 0.5]
[['yogurt', 'frozen meals'], 61, '->', ['whole milk'], 2513, 0.5409836065573771]
[['yogurt', 'onions'], 71, '->', ['whole milk'], 2513, 0.5352112676056338]
[['yogurt', 'herbs'], 35, '->', ['whole milk'], 2513, 0.6]
[['yogurt', 'sliced cheese'], 79, '->', ['whole milk'], 2513, 0.569620253164557]
[['yogurt', 'pasta'], 31, '->', ['whole milk'], 2513, 0.5806451612903226]
[['yogurt', 'Instant food products'], 14, '->', ['whole milk'], 2513, 0.7857142857142857]
[['yogurt', 'soft cheese'], 59, '->', ['whole milk'], 2513, 0.576271186440678]
[['yogurt', 'cake bar'], 24, '->', ['whole milk'], 2513, 0.5]
[['whole milk', 'specialty cheese'], 37, '->', ['yogurt'], 1372, 0.5405405405405406]
[['yogurt', 'specialty cheese'], 28, '->', ['whole milk'], 2513, 0.7142857142857143]
[['yogurt', 'dog food'], 19, '->', ['whole milk'], 2513, 0.631578947368421]
[['yogurt', 'frozen fish'], 32, '->', ['whole milk'], 2513, 0.6875]
[['yogurt', 'mustard'], 23, '->', ['whole milk'], 2513, 0.6086956521739131]
[['yogurt', 'roll products'], 22, '->', ['whole milk'], 2513, 0.6363636363636364]
[['cream cheese', 'butter'], 40, '->', ['yogurt'], 1372, 0.525]
[['cream cheese', 'root vegetables'], 74, '->', ['yogurt'], 1372, 0.5]
[['cream cheese', 'hygiene articles'], 22, '->', ['yogurt'], 1372, 0.5454545454545454]
[['cream cheese', 'berries'], 20, '->', ['yogurt'], 1372, 0.65]
[['cream cheese', 'whipped/sour cream'], 63, '->', ['yogurt'], 1372, 0.5238095238095238]
[['yogurt', 'rice'], 23, '->', ['other vegetables'], 1903, 0.8260869565217391]
[['yogurt', 'flour'], 48, '->', ['other vegetables'], 1903, 0.5625]
[['yogurt', 'chicken'], 82, '->', ['other vegetables'], 1903, 0.5853658536585366]
[['yogurt', 'root vegetables'], 254, '->', ['other vegetables'], 1903, 0.5]
[['yogurt', 'hamburger meat'], 64, '->', ['other vegetables'], 1903, 0.53125]
[['yogurt', 'grapes'], 46, '->', ['other vegetables'], 1903, 0.6086956521739131]
[['yogurt', 'turkey'], 23, '->', ['other vegetables'], 1903, 0.6086956521739131]
[['yogurt', 'baking powder'], 45, '->', ['other vegetables'], 1903, 0.5111111111111111]
[['yogurt', 'oil'], 52, '->', ['other vegetables'], 1903, 0.6153846153846154]
[['yogurt', 'onions'], 71, '->', ['other vegetables'], 1903, 0.5352112676056338]
[['yogurt', 'herbs'], 35, '->', ['other vegetables'], 1903, 0.5714285714285714]
[['yogurt', 'specialty cheese'], 28, '->', ['other vegetables'], 1903, 0.5714285714285714]
[['yogurt', 'meat'], 52, '->', ['other vegetables'], 1903, 0.5384615384615384]
[['yogurt', 'roll products'], 22, '->', ['other vegetables'], 1903, 0.6363636363636364]
[['yogurt', 'mayonnaise'], 27, '->', ['other vegetables'], 1903, 0.5925925925925926]
[['long life bakery product', 'dessert'], 29, '->', ['yogurt'], 1372, 0.5172413793103449]
[['butter', 'frozen meals'], 27, '->', ['yogurt'], 1372, 0.5555555555555556]
[['butter', 'soft cheese'], 27, '->', ['yogurt'], 1372, 0.5555555555555556]
[['rice', 'root vegetables'], 31, '->', ['yogurt'], 1372, 0.5161290322580645]
[['yogurt', 'rice'], 23, '->', ['root vegetables'], 1072, 0.6956521739130435]
[['white bread', 'curd'], 34, '->', ['yogurt'], 1372, 0.5]
[['white bread', 'butter milk'], 20, '->', ['yogurt'], 1372, 0.55]
[['white bread', 'hard cheese'], 20, '->', ['yogurt'], 1372, 0.55]
[['bottled water', 'soft cheese'], 21, '->', ['yogurt'], 1372, 0.6190476190476191]
[['curd', 'ham'], 24, '->', ['yogurt'], 1372, 0.5833333333333334]
[['curd', 'frozen meals'], 23, '->', ['yogurt'], 1372, 0.5652173913043478]
[['curd', 'onions'], 25, '->', ['yogurt'], 1372, 0.52]
[['curd', 'sliced cheese'], 28, '->', ['yogurt'], 1372, 0.5714285714285714]
[['curd', 'soft cheese'], 22, '->', ['yogurt'], 1372, 0.6818181818181818]
[['flour', 'fruit/vegetable juice'], 24, '->', ['yogurt'], 1372, 0.5416666666666666]
[['frankfurter', 'sliced cheese'], 23, '->', ['yogurt'], 1372, 0.5217391304347826]
[['yogurt', 'sweet spreads'], 22, '->', ['soda'], 1715, 0.5454545454545454]
[['fruit/vegetable juice', 'beverages'], 28, '->', ['yogurt'], 1372, 0.5]
[['fruit/vegetable juice', 'cat food'], 23, '->', ['yogurt'], 1372, 0.5217391304347826]
[['fruit/vegetable juice', 'baking powder'], 22, '->', ['yogurt'], 1372, 0.5]
[['fruit/vegetable juice', 'soft cheese'], 27, '->', ['yogurt'], 1372, 0.6666666666666666]
[['butter milk', 'pastry'], 33, '->', ['yogurt'], 1372, 0.5757575757575758]
[['butter milk', 'berries'], 20, '->', ['yogurt'], 1372, 0.65]
[['butter milk', 'dessert'], 28, '->', ['yogurt'], 1372, 0.5714285714285714]
[['butter milk', 'sliced cheese'], 24, '->', ['yogurt'], 1372, 0.5416666666666666]
[['yogurt', 'herbs'], 35, '->', ['root vegetables'], 1072, 0.5714285714285714]
[['root vegetables', 'specialty cheese'], 21, '->', ['yogurt'], 1372, 0.5238095238095238]
[['root vegetables', 'frozen fish'], 26, '->', ['yogurt'], 1372, 0.5384615384615384]
[['root vegetables', 'mayonnaise'], 25, '->', ['yogurt'], 1372, 0.52]
[['candy', 'brown bread'], 22, '->', ['yogurt'], 1372, 0.5454545454545454]
[['whipped/sour cream', 'sliced cheese'], 38, '->', ['yogurt'], 1372, 0.5]
[['whipped/sour cream', 'soft cheese'], 30, '->', ['yogurt'], 1372, 0.5]
[['domestic eggs', 'soft cheese'], 31, '->', ['yogurt'], 1372, 0.5483870967741935]
[['frozen vegetables', 'sliced cheese'], 22, '->', ['yogurt'], 1372, 0.5]
[['frozen meals', 'sliced cheese'], 19, '->', ['yogurt'], 1372, 0.5789473684210527]
[['coffee', 'butter'], 47, '->', ['whole milk'], 2513, 0.7021276595744681]
