[['semi-finished bread'], 174, '->', ['citrus fruit'], 814, 0.13793103448275862]
[['cream cheese'], 390, '->', ['margarine'], 576, 0.11794871794871795]
[['other vegetables'], 1903, '->', ['margarine'], 576, 0.10194429847609038]
[['margarine'], 576, '->', ['other vegetables'], 1903, 0.3368055555555556]
[['butter'], 545, '->', ['margarine'], 576, 0.12110091743119267]
[['margarine'], 576, '->', ['butter'], 545, 0.11458333333333333]
[['rice'], 75, '->', ['margarine'], 576, 0.14666666666666667]
[['margarine'], 576, '->', ['rolls/buns'], 1809, 0.2517361111111111]
[['UHT-milk'], 329, '->', ['margarine'], 576, 0.11854103343465046]
[['margarine'], 576, '->', ['bottled beer'], 792, 0.10416666666666667]
[['margarine'], 576, '->', ['bottled water'], 1087, 0.1753472222222222]
[['curd'], 524, '->', ['margarine'], 576, 0.1183206106870229]
[['margarine'], 576, '->', ['curd'], 524, 0.1076388888888889]
[['flour'], 171, '->', ['margarine'], 576, 0.21637426900584794]
[['beef'], 516, '->', ['margarine'], 576, 0.1182170542635659]
[['margarine'], 576, '->', ['beef'], 516, 0.10590277777777778]
[['frankfurter'], 580, '->', ['margarine'], 576, 0.10862068965517241]
[['margarine'], 576, '->', ['frankfurter'], 580, 0.109375]
[['margarine'], 576, '->', ['soda'], 1715, 0.1736111111111111]
[['chicken'], 422, '->', ['margarine'], 576, 0.10900473933649289]
[['sugar'], 333, '->', ['margarine'], 576, 0.16216216216216217]
[['margarine'], 576, '->', ['fruit/vegetable juice'], 711, 0.10590277777777778]
[['margarine'], 576, '->', ['newspapers'], 785, 0.12152777777777778]
[['margarine'], 576, '->', ['pastry'], 875, 0.11631944444444445]
[['processed cheese'], 163, '->', ['margarine'], 576, 0.12269938650306748]
[['detergent'], 189, '->', ['margarine'], 576, 0.1164021164021164]
[['root vegetables'], 1072, '->', ['margarine'], 576, 0.10167910447761194]
[['margarine'], 576, '->', ['root vegetables'], 1072, 0.1892361111111111]
[['frozen dessert'], 106, '->', ['margarine'], 576, 0.14150943396226415]
[['margarine'], 576, '->', ['sausage'], 924, 0.12152777777777778]
[['brown bread'], 638, '->', ['margarine'], 576, 0.10031347962382445]
[['margarine'], 576, '->', ['brown bread'], 638, 0.1111111111111111]
[['hygiene articles'], 324, '->', ['margarine'], 576, 0.11728395061728394]
[['pork'], 567, '->', ['margarine'], 576, 0.1111111111111111]
[['margarine'], 576, '->', ['pork'], 567, 0.109375]
[['margarine'], 576, '->', ['whipped/sour cream'], 705, 0.11631944444444445]
[['domestic eggs'], 624, '->', ['margarine'], 576, 0.13141025641025642]
[['margarine'], 576, '->', ['domestic eggs'], 624, 0.1423611111111111]
[['cat food'], 229, '->', ['margarine'], 576, 0.12663755458515283]
[['ham'], 256, '->', ['margarine'], 576, 0.1015625]
[['baking powder'], 174, '->', ['margarine'], 576, 0.1724137931034483]
[['pickled vegetables'], 176, '->', ['margarine'], 576, 0.11363636363636363]
[['oil'], 276, '->', ['margarine'], 576, 0.13043478260869565]
[['chocolate marshmallow'], 89, '->', ['margarine'], 576, 0.14606741573033707]
[['frozen vegetables'], 473, '->', ['margarine'], 576, 0.10570824524312897]
[['canned fish'], 148, '->', ['margarine'], 576, 0.10135135135135136]
[['specialty fat'], 36, '->', ['margarine'], 576, 0.3333333333333333]
[['candles'], 88, '->', ['margarine'], 576, 0.23863636363636365]
[['flower (seeds)'], 102, '->', ['margarine'], 576, 0.13725490196078433]
[['salt'], 106, '->', ['margarine'], 576, 0.1320754716981132]
[['canned vegetables'], 106, '->', ['margarine'], 576, 0.11320754716981132]
[['herbs'], 160, '->', ['margarine'], 576, 0.10625]
[['sliced cheese'], 241, '->', ['margarine'], 576, 0.12448132780082988]
[['pasta'], 148, '->', ['margarine'], 576, 0.11486486486486487]
[['cling film/bags'], 112, '->', ['margarine'], 576, 0.125]
[['soft cheese'], 168, '->', ['margarine'], 576, 0.13095238095238096]
[['frozen fish'], 115, '->', ['margarine'], 576, 0.1826086956521739]
[['mustard'], 118, '->', ['margarine'], 576, 0.13559322033898305]
[['soups'], 67, '->', ['margarine'], 576, 0.19402985074626866]
[['roll products'], 101, '->', ['margarine'], 576, 0.1782178217821782]
[['mayonnaise'], 90, '->', ['margarine'], 576, 0.18888888888888888]
[['yogurt'], 1372, '->', ['tropical fruit'], 1032, 0.2099125364431487]
[['tropical fruit'], 1032, '->', ['yogurt'], 1372, 0.27906976744186046]
[['coffee'], 571, '->', ['tropical fruit'], 1032, 0.12259194395796848]
[['whole milk'], 2513, '->', ['tropical fruit'], 1032, 0.1655391961798647]
[['tropical fruit'], 1032, '->', ['whole milk'], 2513, 0.40310077519379844]
[['pip fruit'], 744, '->', ['tropical fruit'], 1032, 0.2701612903225806]
[['tropical fruit'], 1032, '->', ['pip fruit'], 744, 0.19476744186046513]
[['cream cheese'], 390, '->', ['tropical fruit'], 1032, 0.18205128205128204]
[['other vegetables'], 1903, '->', ['tropical fruit'], 1032, 0.18549658434051497]
[['tropical fruit'], 1032, '->', ['other vegetables'], 1903, 0.34205426356589147]
[['condensed milk'], 101, '->', ['tropical fruit'], 1032, 0.1485148514851485]
[['long life bakery product'], 368, '->', ['tropical fruit'], 1032, 0.16847826086956522]
[['butter'], 545, '->', ['tropical fruit'], 1032, 0.1798165137614679]
[['rice'], 75, '->', ['tropical fruit'], 1032, 0.25333333333333335]
[['rolls/buns'], 1809, '->', ['tropical fruit'], 1032, 0.1337755666113875]
[['tropical fruit'], 1032, '->', ['rolls/buns'], 1809, 0.23449612403100775]
[['UHT-milk'], 329, '->', ['tropical fruit'], 1032, 0.14893617021276595]
[['bottled beer'], 792, '->', ['tropical fruit'], 1032, 0.10227272727272728]
[['potted plants'], 170, '->', ['tropical fruit'], 1032, 0.17647058823529413]
[['white bread'], 414, '->', ['tropical fruit'], 1032, 0.20772946859903382]
[['bottled water'], 1087, '->', ['tropical fruit'], 1032, 0.16743330266789327]
[['tropical fruit'], 1032, '->', ['bottled water'], 1087, 0.17635658914728683]
[['chocolate'], 488, '->', ['tropical fruit'], 1032, 0.16393442622950818]
[['curd'], 524, '->', ['tropical fruit'], 1032, 0.19274809160305342]
[['flour'], 171, '->', ['tropical fruit'], 1032, 0.1871345029239766]
[['dishes'], 173, '->', ['tropical fruit'], 1032, 0.10982658959537572]
[['beef'], 516, '->', ['tropical fruit'], 1032, 0.14534883720930233]
[['frankfurter'], 580, '->', ['tropical fruit'], 1032, 0.16034482758620688]
[['soda'], 1715, '->', ['tropical fruit'], 1032, 0.119533527696793]
[['tropical fruit'], 1032, '->', ['soda'], 1715, 0.19864341085271317]
[['chicken'], 422, '->', ['tropical fruit'], 1032, 0.14928909952606634]
[['sugar'], 333, '->', ['tropical fruit'], 1032, 0.14114114114114115]
[['fruit/vegetable juice'], 711, '->', ['tropical fruit'], 1032, 0.189873417721519]
[['tropical fruit'], 1032, '->', ['fruit/vegetable juice'], 711, 0.1308139534883721]
[['newspapers'], 785, '->', ['tropical fruit'], 1032, 0.14777070063694267]
[['tropical fruit'], 1032, '->', ['newspapers'], 785, 0.1124031007751938]
[['packaged fruit/vegetables'], 128, '->', ['tropical fruit'], 1032, 0.1484375]
[['specialty bar'], 269, '->', ['tropical fruit'], 1032, 0.11895910780669144]
[['butter milk'], 275, '->', ['tropical fruit'], 1032, 0.19636363636363635]
[['pastry'], 875, '->', ['tropical fruit'], 1032, 0.14857142857142858]
[['tropical fruit'], 1032, '->', ['pastry'], 875, 0.12596899224806202]
[['processed cheese'], 163, '->', ['tropical fruit'], 1032, 0.25766871165644173]
[['detergent'], 189, '->', ['tropical fruit'], 1032, 0.1746031746031746]
[['root vegetables'], 1072, '->', ['tropical fruit'], 1032, 0.19309701492537312]
[['tropical fruit'], 1032, '->', ['root vegetables'], 1072, 0.2005813953488372]
[['frozen dessert'], 106, '->', ['tropical fruit'], 1032, 0.24528301886792453]
[['sweet spreads'], 89, '->', ['tropical fruit'], 1032, 0.14606741573033707]
[['salty snack'], 372, '->', ['tropical fruit'], 1032, 0.1478494623655914]
[['waffles'], 378, '->', ['tropical fruit'], 1032, 0.15873015873015872]
[['candy'], 294, '->', ['tropical fruit'], 1032, 0.18027210884353742]
[['sausage'], 924, '->', ['tropical fruit'], 1032, 0.14826839826839827]
[['tropical fruit'], 1032, '->', ['sausage'], 924, 0.13275193798449614]
[['brown bread'], 638, '->', ['tropical fruit'], 1032, 0.164576802507837]
[['tropical fruit'], 1032, '->', ['brown bread'], 638, 0.10174418604651163]
[['shopping bags'], 969, '->', ['tropical fruit'], 1032, 0.13725490196078433]
[['tropical fruit'], 1032, '->', ['shopping bags'], 969, 0.12887596899224807]
[['beverages'], 256, '->', ['tropical fruit'], 1032, 0.1640625]
[['hamburger meat'], 327, '->', ['tropical fruit'], 1032, 0.12844036697247707]
[['spices'], 51, '->', ['tropical fruit'], 1032, 0.21568627450980393]
[['hygiene articles'], 324, '->', ['tropical fruit'], 1032, 0.2037037037037037]
[['napkins'], 515, '->', ['tropical fruit'], 1032, 0.19223300970873786]
[['pork'], 567, '->', ['tropical fruit'], 1032, 0.14814814814814814]
[['berries'], 327, '->', ['tropical fruit'], 1032, 0.2018348623853211]
[['whipped/sour cream'], 705, '->', ['tropical fruit'], 1032, 0.19290780141843972]
[['tropical fruit'], 1032, '->', ['whipped/sour cream'], 705, 0.13178294573643412]
[['grapes'], 220, '->', ['tropical fruit'], 1032, 0.2727272727272727]
[['dessert'], 365, '->', ['tropical fruit'], 1032, 0.16986301369863013]
[['zwieback'], 68, '->', ['tropical fruit'], 1032, 0.20588235294117646]
[['domestic eggs'], 624, '->', ['tropical fruit'], 1032, 0.1794871794871795]
[['tropical fruit'], 1032, '->', ['domestic eggs'], 624, 0.10852713178294573]
[['spread cheese'], 110, '->', ['tropical fruit'], 1032, 0.18181818181818182]
[['misc. beverages'], 279, '->', ['tropical fruit'], 1032, 0.16129032258064516]
[['hard cheese'], 241, '->', ['tropical fruit'], 1032, 0.16597510373443983]
[['cat food'], 229, '->', ['tropical fruit'], 1032, 0.2052401746724891]
[['ham'], 256, '->', ['tropical fruit'], 1032, 0.20703125]
[['turkey'], 80, '->', ['tropical fruit'], 1032, 0.325]
[['baking powder'], 174, '->', ['tropical fruit'], 1032, 0.21264367816091953]
[['pickled vegetables'], 176, '->', ['tropical fruit'], 1032, 0.21022727272727273]
[['oil'], 276, '->', ['tropical fruit'], 1032, 0.16666666666666666]
[['chewing gum'], 207, '->', ['tropical fruit'], 1032, 0.12077294685990338]
[['chocolate marshmallow'], 89, '->', ['tropical fruit'], 1032, 0.20224719101123595]
[['ice cream'], 246, '->', ['tropical fruit'], 1032, 0.16260162601626016]
[['frozen vegetables'], 473, '->', ['tropical fruit'], 1032, 0.18181818181818182]
[['canned fish'], 148, '->', ['tropical fruit'], 1032, 0.16216216216216217]
[['seasonal products'], 140, '->', ['tropical fruit'], 1032, 0.16428571428571428]
[['curd cheese'], 50, '->', ['tropical fruit'], 1032, 0.3]
[['red/blush wine'], 189, '->', ['tropical fruit'], 1032, 0.13227513227513227]
[['frozen potato products'], 83, '->', ['tropical fruit'], 1032, 0.13253012048192772]
[['specialty chocolate'], 299, '->', ['tropical fruit'], 1032, 0.11036789297658862]
[['candles'], 88, '->', ['tropical fruit'], 1032, 0.17045454545454544]
[['flower (seeds)'], 102, '->', ['tropical fruit'], 1032, 0.11764705882352941]
[['salt'], 106, '->', ['tropical fruit'], 1032, 0.1320754716981132]
[['frozen meals'], 279, '->', ['tropical fruit'], 1032, 0.1935483870967742]
[['canned vegetables'], 106, '->', ['tropical fruit'], 1032, 0.25471698113207547]
[['onions'], 305, '->', ['tropical fruit'], 1032, 0.18360655737704917]
[['herbs'], 160, '->', ['tropical fruit'], 1032, 0.175]
[['sliced cheese'], 241, '->', ['tropical fruit'], 1032, 0.2157676348547718]
[['pasta'], 148, '->', ['tropical fruit'], 1032, 0.14864864864864866]
[['cling film/bags'], 112, '->', ['tropical fruit'], 1032, 0.16964285714285715]
[['Instant food products'], 79, '->', ['tropical fruit'], 1032, 0.189873417721519]
[['soft cheese'], 168, '->', ['tropical fruit'], 1032, 0.19047619047619047]
[['popcorn'], 71, '->', ['tropical fruit'], 1032, 0.15492957746478872]
[['cake bar'], 130, '->', ['tropical fruit'], 1032, 0.14615384615384616]
[['specialty cheese'], 84, '->', ['tropical fruit'], 1032, 0.19047619047619047]
[['dog food'], 84, '->', ['tropical fruit'], 1032, 0.19047619047619047]
[['frozen fish'], 115, '->', ['tropical fruit'], 1032, 0.21739130434782608]
[['dish cleaner'], 103, '->', ['tropical fruit'], 1032, 0.13592233009708737]
[['meat'], 254, '->', ['tropical fruit'], 1032, 0.12992125984251968]
[['tea'], 38, '->', ['tropical fruit'], 1032, 0.34210526315789475]
[['mustard'], 118, '->', ['tropical fruit'], 1032, 0.22033898305084745]
[['house keeping products'], 82, '->', ['tropical fruit'], 1032, 0.1951219512195122]
[['pet care'], 93, '->', ['tropical fruit'], 1032, 0.13978494623655913]
[['sauces'], 54, '->', ['tropical fruit'], 1032, 0.2222222222222222]
[['instant coffee'], 73, '->', ['tropical fruit'], 1032, 0.1643835616438356]
[['roll products'], 101, '->', ['tropical fruit'], 1032, 0.19801980198019803]
[['mayonnaise'], 90, '->', ['tropical fruit'], 1032, 0.17777777777777778]
[['kitchen towels'], 59, '->', ['tropical fruit'], 1032, 0.22033898305084745]
[['jam'], 53, '->', ['tropical fruit'], 1032, 0.20754716981132076]
[['coffee'], 571, '->', ['yogurt'], 1372, 0.1681260945709282]
[['whole milk'], 2513, '->', ['yogurt'], 1372, 0.2192598487863112]
[['yogurt'], 1372, '->', ['whole milk'], 2513, 0.40160349854227406]
[['pip fruit'], 744, '->', ['yogurt'], 1372, 0.23790322580645162]
[['yogurt'], 1372, '->', ['pip fruit'], 744, 0.12900874635568513]
[['cream cheese'], 390, '->', ['yogurt'], 1372, 0.3128205128205128]
[['meat spreads'], 42, '->', ['yogurt'], 1372, 0.42857142857142855]
[['other vegetables'], 1903, '->', ['yogurt'], 1372, 0.22438255386232264]
[['yogurt'], 1372, '->', ['other vegetables'], 1903, 0.3112244897959184]
[['condensed milk'], 101, '->', ['yogurt'], 1372, 0.15841584158415842]
[['long life bakery product'], 368, '->', ['yogurt'], 1372, 0.23369565217391305]
[['butter'], 545, '->', ['yogurt'], 1372, 0.26422018348623855]
[['yogurt'], 1372, '->', ['butter'], 545, 0.10495626822157435]
[['rice'], 75, '->', ['yogurt'], 1372, 0.30666666666666664]
[['rolls/buns'], 1809, '->', ['yogurt'], 1372, 0.18684355997788835]
[['yogurt'], 1372, '->', ['rolls/buns'], 1809, 0.24635568513119532]
[['UHT-milk'], 329, '->', ['yogurt'], 1372, 0.22188449848024316]
[['bottled beer'], 792, '->', ['yogurt'], 1372, 0.1148989898989899]
[['potted plants'], 170, '->', ['yogurt'], 1372, 0.2235294117647059]
[['cereals'], 56, '->', ['yogurt'], 1372, 0.375]
[['white bread'], 414, '->', ['yogurt'], 1372, 0.21497584541062803]
[['bottled water'], 1087, '->', ['yogurt'], 1372, 0.20791168353265868]
[['yogurt'], 1372, '->', ['bottled water'], 1087, 0.16472303206997085]
[['chocolate'], 488, '->', ['yogurt'], 1372, 0.1864754098360656]
[['curd'], 524, '->', ['yogurt'], 1372, 0.3244274809160305]
[['yogurt'], 1372, '->', ['curd'], 524, 0.1239067055393586]
[['flour'], 171, '->', ['yogurt'], 1372, 0.2807017543859649]
[['dishes'], 173, '->', ['yogurt'], 1372, 0.2138728323699422]
[['beef'], 516, '->', ['yogurt'], 1372, 0.22286821705426357]
[['frankfurter'], 580, '->', ['yogurt'], 1372, 0.1896551724137931]
[['soda'], 1715, '->', ['yogurt'], 1372, 0.15685131195335278]
[['yogurt'], 1372, '->', ['soda'], 1715, 0.19606413994169097]
[['chicken'], 422, '->', ['yogurt'], 1372, 0.1943127962085308]
[['sugar'], 333, '->', ['yogurt'], 1372, 0.2042042042042042]
[['fruit/vegetable juice'], 711, '->', ['yogurt'], 1372, 0.2587904360056259]
[['yogurt'], 1372, '->', ['fruit/vegetable juice'], 711, 0.13411078717201166]
[['newspapers'], 785, '->', ['yogurt'], 1372, 0.19235668789808918]
[['yogurt'], 1372, '->', ['newspapers'], 785, 0.11005830903790087]
[['packaged fruit/vegetables'], 128, '->', ['yogurt'], 1372, 0.1953125]
[['specialty bar'], 269, '->', ['yogurt'], 1372, 0.16356877323420074]
[['butter milk'], 275, '->', ['yogurt'], 1372, 0.3054545454545455]
[['pastry'], 875, '->', ['yogurt'], 1372, 0.19885714285714284]
[['yogurt'], 1372, '->', ['pastry'], 875, 0.12682215743440234]
[['processed cheese'], 163, '->', ['yogurt'], 1372, 0.15950920245398773]
[['detergent'], 189, '->', ['yogurt'], 1372, 0.20634920634920634]
[['root vegetables'], 1072, '->', ['yogurt'], 1372, 0.23694029850746268]
[['yogurt'], 1372, '->', ['root vegetables'], 1072, 0.18513119533527697]
[['frozen dessert'], 106, '->', ['yogurt'], 1372, 0.1792452830188679]
[['sweet spreads'], 89, '->', ['yogurt'], 1372, 0.24719101123595505]
[['salty snack'], 372, '->', ['yogurt'], 1372, 0.1639784946236559]
[['waffles'], 378, '->', ['yogurt'], 1372, 0.19576719576719576]
[['candy'], 294, '->', ['yogurt'], 1372, 0.1836734693877551]
[['sausage'], 924, '->', ['yogurt'], 1372, 0.20887445887445888]
[['yogurt'], 1372, '->', ['sausage'], 924, 0.14067055393586006]
[['brown bread'], 638, '->', ['yogurt'], 1372, 0.22413793103448276]
[['yogurt'], 1372, '->', ['brown bread'], 638, 0.10422740524781342]
[['shopping bags'], 969, '->', ['yogurt'], 1372, 0.15479876160990713]
[['yogurt'], 1372, '->', ['shopping bags'], 969, 0.10932944606413994]
[['beverages'], 256, '->', ['yogurt'], 1372, 0.2109375]
